customer_id,tenure_months,monthly_charges,contract_type,support_calls,churn,days_since_cancellation,final_bill_amount
20189,42,55.19,One year,1,0,,
20347,12,39.41,One year,6,1,64.0,43.63
20026,8,81.64,One year,1,0,,
20301,18,75.85,One year,3,0,,
20165,5,27.29,One year,2,1,57.0,29.86
20549,16,49.38,One year,0,0,,
20462,34,81.88,One year,4,0,,
20016,14,97.8,Two year,2,0,,
20167,17,46.5,Month-to-month,3,0,,
20412,28,32.14,Month-to-month,1,0,,
20470,18,36.34,One year,2,0,,
20481,5,76.65,Month-to-month,4,0,,
20214,13,117.87,Month-to-month,2,0,,
20468,13,44.45,Month-to-month,4,1,41.0,43.61
20380,15,92.61,One year,2,0,,
20580,16,66.06,Two year,2,0,,
20370,4,81.17,Month-to-month,0,0,,
20118,33,58.03,One year,3,0,,
20139,8,59.6,Two year,0,0,,
20015,4,108.88,Month-to-month,7,1,23.0,109.2
20596,2,93.64,Month-to-month,3,0,,
20514,13,55.6,Month-to-month,3,1,31.0,45.58
20337,52,81.95,One year,2,0,,
20113,19,68.8,Two year,3,0,,
20400,1,67.92,Month-to-month,1,0,,
20557,19,75.83,Two year,5,0,,
20019,19,46.07,Month-to-month,4,0,,
20007,14,48.68,Month-to-month,3,1,72.0,59.53
20558,30,60.25,Month-to-month,1,0,,
20430,12,67.73,Two year,0,0,,
20064,25,83.59,Month-to-month,3,0,,
20041,63,42.73,Month-to-month,1,0,,
20600,12,39.34,Month-to-month,0,0,,
20463,32,93.62,Month-to-month,2,0,,
20213,6,57.28,Two year,0,0,,
20517,39,38.49,Month-to-month,3,0,,
20271,50,48.38,One year,5,0,,
20255,19,52.43,One year,3,0,,
20048,24,70.1,Two year,1,0,,
20065,3,76.21,One year,0,0,,
20276,11,66.0,One year,2,1,4.0,65.8
20056,62,44.25,Month-to-month,1,0,,
20315,22,89.25,One year,0,0,,
20419,8,40.49,One year,7,0,,
20473,20,98.48,Month-to-month,2,0,,
20063,1,63.38,Month-to-month,0,1,77.0,78.24
20582,18,64.69,Month-to-month,1,0,,
20148,17,75.79,Month-to-month,3,0,,
20240,13,58.31,One year,2,0,,
20134,24,77.13,Month-to-month,0,1,75.0,95.0
20104,30,90.03,Month-to-month,4,0,,
20262,37,108.65,Month-to-month,5,1,65.0,130.92
20171,28,34.37,Month-to-month,5,0,,
20159,7,40.08,One year,1,0,,
20526,13,47.13,Month-to-month,3,0,,
20211,39,79.27,One year,1,0,,
20411,54,93.85,One year,3,0,,
20509,11,79.75,Month-to-month,1,0,,
20193,41,52.28,One year,1,0,,
20135,8,78.93,One year,1,1,46.0,68.26
20497,2,92.85,Month-to-month,4,1,65.0,91.85
20192,17,63.54,Month-to-month,1,0,,
20375,4,40.33,Two year,1,0,,
20503,1,69.28,Month-to-month,1,0,,
20155,9,78.54,Month-to-month,2,1,59.0,76.67
20043,30,104.22,Month-to-month,3,1,43.0,93.12
20270,59,92.43,Month-to-month,2,0,,
20046,15,73.91,Month-to-month,2,1,39.0,86.4
20546,14,34.84,Two year,1,0,,
20143,45,72.07,Month-to-month,1,0,,
20181,46,28.03,Month-to-month,2,1,21.0,28.53
20257,16,93.4,Two year,3,0,,
20129,32,69.14,Month-to-month,3,0,,
20161,46,81.63,Month-to-month,3,1,14.0,72.34
20585,7,65.83,Month-to-month,1,0,,
20124,34,67.75,Two year,1,0,,
20426,33,63.64,Month-to-month,1,0,,
20169,9,62.55,One year,3,1,21.0,69.99
20574,1,72.55,Month-to-month,1,0,,
20101,1,76.5,One year,2,0,,
20221,9,98.1,Month-to-month,1,1,46.0,115.08
20103,33,93.69,Month-to-month,3,0,,
20232,72,32.09,Two year,4,0,,
20373,3,77.43,One year,2,0,,
20190,41,21.22,Month-to-month,1,0,,
20559,9,59.4,Month-to-month,4,0,,
20252,8,101.62,Month-to-month,4,1,59.0,120.1
20554,1,105.42,Month-to-month,3,1,62.0,97.55
20593,8,24.36,Month-to-month,1,0,,
20248,36,41.09,Month-to-month,2,0,,
20212,24,64.23,Month-to-month,2,0,,
20249,1,44.78,Month-to-month,1,0,,
20455,46,75.81,Two year,1,0,,
20047,42,32.34,One year,1,0,,
20237,42,88.31,Two year,1,0,,
20299,41,89.81,Two year,2,0,,
20293,21,46.4,Month-to-month,4,1,6.0,54.1
20130,3,65.63,One year,2,0,,
20014,35,35.77,One year,0,0,,
20341,10,46.12,Month-to-month,1,1,15.0,54.48
20185,8,37.83,Month-to-month,4,0,,
20472,27,107.94,One year,3,0,,
20093,41,71.96,Two year,3,0,,
20320,22,65.62,One year,0,0,,
20317,41,99.11,Month-to-month,2,0,,
20302,11,57.16,One year,1,0,,
20383,1,49.87,One year,3,0,,
20465,21,91.38,One year,1,0,,
20002,30,64.79,Month-to-month,2,0,,
20196,20,67.73,One year,2,0,,
20349,6,76.62,One year,1,0,,
20062,15,65.82,Month-to-month,1,1,76.0,63.76
20077,1,81.62,Month-to-month,3,0,,
20114,27,78.87,One year,5,0,,
20340,1,68.39,Month-to-month,1,0,,
20490,1,108.91,Two year,4,0,,
20351,1,79.55,One year,2,0,,
20279,1,18.0,One year,2,1,83.0,21.19
20086,29,89.84,Month-to-month,1,1,78.0,81.31
20034,17,23.99,Two year,1,0,,
20350,1,72.71,Month-to-month,2,1,60.0,64.05
20105,25,34.73,Month-to-month,1,1,47.0,37.14
20203,35,44.81,Month-to-month,4,0,,
20453,18,87.6,Month-to-month,1,0,,
20145,11,76.05,Month-to-month,1,1,55.0,88.63
20207,32,45.15,Two year,1,0,,
20025,22,52.7,Month-to-month,3,0,,
20106,39,71.52,One year,1,0,,
20571,25,90.83,Two year,1,1,5.0,103.29
20170,72,59.88,Month-to-month,3,0,,
20272,1,72.84,Month-to-month,2,1,24.0,73.74
20094,21,65.75,Month-to-month,1,0,,
20451,19,18.0,Month-to-month,3,0,,
20269,16,52.45,One year,1,0,,
20153,1,84.62,Month-to-month,1,1,55.0,96.07
20268,1,74.43,One year,2,0,,
20083,21,66.18,Month-to-month,2,1,84.0,75.17
20089,13,54.82,Month-to-month,2,0,,
20088,33,81.88,One year,3,0,,
20396,15,49.52,Two year,1,0,,
20142,6,40.18,Month-to-month,2,0,,
20226,1,43.7,Two year,0,0,,
20339,22,57.27,One year,6,0,,
20515,10,87.02,Two year,3,1,40.0,106.47
20254,41,60.22,Two year,2,0,,
20283,37,43.85,Two year,2,0,,
20084,21,50.32,Month-to-month,2,0,,
20364,7,88.14,One year,0,0,,
20051,36,41.94,One year,0,0,,
20414,5,54.5,One year,1,0,,
20386,16,86.46,Month-to-month,2,0,,
20154,25,36.41,Two year,1,0,,
20040,17,83.48,One year,1,0,,
20222,14,73.31,One year,0,0,,
20291,52,23.95,Month-to-month,2,0,,
20220,56,46.07,Month-to-month,1,0,,
20085,35,61.02,One year,0,0,,
20507,20,71.06,Month-to-month,3,1,87.0,66.78
20035,3,64.54,Month-to-month,0,1,47.0,69.98
20245,55,36.76,One year,2,0,,
20201,9,67.35,Two year,1,0,,
20551,3,61.56,Two year,2,0,,
20469,7,52.34,Month-to-month,0,1,33.0,59.41
20329,8,38.15,One year,3,0,,
20533,11,67.4,Month-to-month,2,0,,
20357,49,35.84,Month-to-month,3,0,,
20163,10,46.16,One year,1,0,,
20454,15,93.57,Month-to-month,7,1,59.0,92.04
20274,17,55.77,Month-to-month,2,0,,
20573,69,38.88,Month-to-month,2,0,,
20547,71,72.18,One year,0,0,,
20539,3,45.03,Month-to-month,0,1,32.0,48.33
20424,19,37.45,Month-to-month,2,0,,
20151,23,97.98,Month-to-month,3,1,55.0,88.43
20044,37,82.62,Month-to-month,1,0,,
20173,28,75.71,One year,6,0,,
20198,23,72.88,One year,1,0,,
20581,50,51.4,Month-to-month,2,0,,
20206,5,83.78,One year,5,1,70.0,102.19
20343,20,83.85,Month-to-month,3,0,,
20313,9,88.58,One year,3,0,,
20399,6,64.45,Month-to-month,2,0,,
20141,65,93.78,One year,3,0,,
20536,4,62.43,Month-to-month,1,1,75.0,74.78
20384,6,65.53,Two year,0,0,,
20518,1,70.22,One year,2,0,,
20097,72,48.37,Two year,1,0,,
20258,8,54.71,Month-to-month,3,0,,
20242,33,31.27,Month-to-month,2,0,,
20567,20,20.1,Month-to-month,0,1,8.0,16.29
20233,52,74.8,One year,5,0,,
20267,38,49.57,Two year,2,0,,
20525,10,73.26,One year,0,0,,
20498,11,68.82,Two year,3,0,,
20061,1,29.85,Month-to-month,2,1,68.0,27.6
20194,52,103.8,Two year,2,0,,
20013,1,92.56,Month-to-month,4,0,,
20476,1,67.99,One year,4,1,24.0,64.42
20288,18,46.09,Month-to-month,3,1,4.0,42.01
20480,72,52.05,Two year,0,0,,
20431,1,82.31,Month-to-month,1,1,54.0,105.94
20022,17,70.16,Month-to-month,3,0,,
20342,2,66.82,One year,2,0,,
20524,44,76.93,Month-to-month,0,0,,
20174,13,53.46,Month-to-month,2,0,,
20039,31,18.0,One year,3,0,,
20403,8,58.32,Month-to-month,3,1,42.0,49.66
20318,18,88.34,One year,2,0,,
20273,6,78.94,One year,0,0,,
20569,11,72.35,Month-to-month,0,1,88.0,69.31
20381,19,55.4,Month-to-month,1,0,,
20478,22,94.18,Month-to-month,1,0,,
20407,12,41.3,One year,0,0,,
20246,21,57.29,Two year,1,0,,
20508,1,43.88,Month-to-month,4,1,44.0,53.13
20095,6,47.05,Month-to-month,1,0,,
20568,20,38.36,Two year,2,0,,
20303,6,28.75,One year,2,0,,
20354,15,57.22,Two year,0,0,,
20435,2,72.13,Month-to-month,1,1,10.0,76.59
20131,8,63.68,One year,1,0,,
20072,6,51.63,Month-to-month,1,1,77.0,55.17
20187,11,76.84,One year,0,0,,
20588,21,63.86,One year,2,0,,
20434,18,73.64,Month-to-month,3,0,,
20168,17,64.37,Month-to-month,2,1,74.0,58.5
20543,29,34.02,One year,1,0,,
20111,24,35.86,One year,1,1,82.0,33.91
20138,33,111.91,One year,2,0,,
20017,13,81.87,Two year,1,1,84.0,69.4
20429,25,89.29,Month-to-month,2,0,,
20572,16,100.61,Month-to-month,3,1,60.0,117.59
20346,6,82.78,Month-to-month,0,1,85.0,70.51
20496,29,66.05,One year,0,0,,
20092,18,54.73,Month-to-month,1,0,,
20387,24,61.55,Month-to-month,2,0,,
20102,8,71.4,Two year,2,0,,
20504,17,48.43,Two year,3,1,13.0,56.64
20205,3,76.5,Month-to-month,1,0,,
20296,27,76.2,Month-to-month,2,0,,
20177,19,64.14,Month-to-month,2,0,,
20324,16,82.69,One year,1,0,,
20018,40,76.69,Two year,3,0,,
20550,37,41.94,Two year,2,0,,
20328,6,63.93,Two year,3,0,,
20021,15,47.99,Two year,1,0,,
20305,2,99.53,Month-to-month,5,1,89.0,116.62
20264,20,27.73,One year,1,0,,
20592,17,46.84,Two year,1,1,48.0,55.58
20541,5,120.0,Two year,3,0,,
20352,37,83.6,Month-to-month,2,1,88.0,95.01
20137,1,39.35,Month-to-month,5,1,58.0,32.76
20200,25,83.82,Month-to-month,4,0,,
20459,13,83.0,Month-to-month,0,0,,
20070,4,80.64,Two year,1,0,,
20224,13,28.72,Month-to-month,3,0,,
20447,5,74.31,Month-to-month,3,0,,
20452,72,56.59,One year,2,0,,
20366,12,23.99,One year,4,0,,
20466,16,87.36,One year,2,0,,
20450,19,82.49,One year,6,1,79.0,87.08
20393,1,50.19,Month-to-month,1,0,,
20545,31,65.65,Month-to-month,3,0,,
20369,49,81.02,One year,1,0,,
20183,3,53.74,One year,3,0,,
20576,13,63.48,Month-to-month,4,0,,
20186,7,93.22,Two year,4,0,,
20382,9,47.02,Month-to-month,3,1,55.0,42.22
20133,1,89.44,One year,2,0,,
20445,33,69.27,Month-to-month,3,1,39.0,82.78
20178,41,112.08,Two year,2,0,,
20405,11,77.15,Two year,0,0,,
20520,17,66.44,Month-to-month,0,0,,
20334,24,81.0,Two year,1,0,,
20235,72,88.54,One year,0,0,,
20335,1,56.51,Month-to-month,2,1,89.0,64.77
20442,7,66.77,Two year,3,0,,
20020,39,80.8,One year,4,0,,
20577,5,51.24,Month-to-month,2,0,,
20049,17,92.06,Month-to-month,4,1,4.0,108.4
20390,6,70.49,Month-to-month,2,0,,
20563,41,82.19,Month-to-month,4,0,,
20505,39,118.63,Month-to-month,4,1,11.0,114.1
20522,3,80.1,One year,1,0,,
20117,40,57.88,Month-to-month,2,1,60.0,51.61
20484,39,85.87,Month-to-month,0,0,,
20236,35,39.77,Month-to-month,2,0,,
20456,1,85.82,Month-to-month,0,1,73.0,102.55
20286,44,114.66,One year,4,0,,
20591,2,70.78,Month-to-month,2,1,5.0,65.84
20528,2,76.62,Month-to-month,3,1,34.0,88.16
20247,22,52.54,Two year,2,0,,
20433,72,40.09,Month-to-month,1,0,,
20112,10,68.53,Month-to-month,7,0,,
20202,18,53.9,Month-to-month,2,0,,
20438,15,54.42,Two year,2,0,,
20038,6,52.73,Month-to-month,4,0,,
20367,8,65.85,One year,1,0,,
20119,27,46.55,Month-to-month,3,0,,
20278,8,57.95,One year,3,0,,
20234,11,62.47,One year,1,0,,
20439,41,24.03,One year,1,0,,
20024,55,59.33,Month-to-month,3,0,,
20259,2,84.7,One year,2,1,4.0,95.66
20310,5,69.53,Two year,1,0,,
20091,23,52.08,Month-to-month,0,0,,
20333,44,21.88,Month-to-month,1,0,,
20365,13,18.0,Two year,5,0,,
20029,1,63.09,Month-to-month,1,0,,
20378,10,81.01,Month-to-month,1,0,,
20036,4,42.19,Two year,3,0,,
20575,28,26.22,Month-to-month,4,0,,
20208,49,28.05,Month-to-month,2,0,,
20477,10,78.24,Month-to-month,1,0,,
20179,16,57.18,Month-to-month,2,1,48.0,47.56
20082,4,85.79,Month-to-month,1,1,15.0,80.15
20420,40,88.11,Month-to-month,3,0,,
20058,4,68.72,Month-to-month,0,1,62.0,63.78
20542,9,92.18,Month-to-month,1,1,89.0,92.43
20122,26,40.09,Two year,1,0,,
20027,18,92.41,Month-to-month,2,0,,
20243,34,46.6,One year,0,0,,
20397,2,68.31,Month-to-month,1,1,69.0,70.69
20475,2,92.42,Month-to-month,3,0,,
20513,26,112.95,Month-to-month,5,1,72.0,136.51
20005,31,89.57,Two year,1,0,,
20306,2,70.59,Month-to-month,2,1,71.0,86.07
20078,20,50.98,One year,3,0,,
20218,11,93.02,One year,1,0,,
20284,2,58.59,One year,1,0,,
20136,10,106.51,Month-to-month,4,0,,
20319,9,85.85,Two year,2,1,47.0,82.53
20584,18,83.85,One year,2,0,,
20219,3,55.12,Month-to-month,1,0,,
20336,1,96.17,Month-to-month,3,1,40.0,116.98
20128,10,42.39,Two year,2,0,,
20590,1,78.93,Month-to-month,1,0,,
20297,1,112.23,Month-to-month,1,1,59.0,109.06
20156,11,19.36,Month-to-month,1,0,,
20436,13,67.58,Month-to-month,3,1,75.0,76.54
20401,9,18.34,Month-to-month,5,1,4.0,16.85
20250,7,55.93,Month-to-month,3,0,,
20285,70,58.12,One year,1,0,,
20023,7,94.54,One year,6,0,,
20228,11,61.75,Month-to-month,2,1,78.0,72.21
20483,7,82.16,Month-to-month,3,0,,
20404,2,96.52,Two year,6,0,,
20003,6,30.36,Month-to-month,1,0,,
20446,21,41.65,Month-to-month,4,1,75.0,52.78
20037,1,71.59,Month-to-month,2,1,75.0,60.79
20030,72,103.21,One year,2,0,,
20409,28,86.72,Month-to-month,2,0,,
20527,1,61.02,Month-to-month,4,0,,
20458,14,68.62,Month-to-month,2,0,,
20006,5,33.76,Two year,3,0,,
20294,3,88.74,Month-to-month,0,1,61.0,81.97
20282,15,54.07,Month-to-month,4,1,69.0,48.85
20033,7,83.47,Month-to-month,5,1,63.0,96.78
20422,60,87.38,Month-to-month,1,0,,
20501,57,75.93,Month-to-month,4,0,,
20116,26,56.11,Month-to-month,0,0,,
20460,17,24.5,Month-to-month,1,0,,
20157,3,73.63,One year,4,0,,
20519,29,89.3,Month-to-month,3,1,81.0,73.16
20362,23,64.51,One year,0,0,,
20482,14,120.0,One year,3,0,,
20359,3,82.68,One year,3,0,,
20556,5,66.8,Two year,2,0,,
20099,15,47.81,Month-to-month,0,0,,
20075,47,47.05,One year,5,0,,
20260,4,73.97,Two year,1,0,,
20298,55,18.0,One year,3,0,,
20144,4,51.11,One year,3,0,,
20471,25,86.42,Month-to-month,4,0,,
20042,7,97.52,One year,3,0,,
20011,5,18.0,Two year,2,0,,
20180,20,61.31,One year,2,0,,
20008,2,42.44,Month-to-month,3,0,,
20209,1,29.6,Month-to-month,2,1,66.0,26.81
20149,2,59.45,Month-to-month,0,1,59.0,62.74
20331,9,91.17,One year,4,0,,
20376,72,23.41,One year,4,0,,
20566,22,64.09,Month-to-month,1,0,,
20587,14,22.85,Month-to-month,2,1,9.0,28.38
20322,3,40.98,Month-to-month,4,0,,
20415,18,85.26,Month-to-month,4,0,,
20292,58,32.43,Month-to-month,1,0,,
20521,13,29.52,Two year,2,0,,
20416,9,18.0,One year,2,0,,
20050,18,85.49,One year,1,1,78.0,107.55
20377,8,53.62,One year,8,0,,
20570,18,78.88,Month-to-month,4,1,23.0,86.44
20578,7,75.55,Month-to-month,3,0,,
20098,12,68.26,One year,3,0,,
20499,25,28.89,Month-to-month,2,1,69.0,29.49
20216,12,81.92,Month-to-month,2,1,11.0,67.04
20449,1,33.08,Month-to-month,1,1,43.0,33.42
20053,5,80.59,One year,3,0,,
20309,31,18.0,One year,4,0,,
20316,4,70.86,Month-to-month,3,0,,
20489,4,41.64,Month-to-month,1,0,,
20080,17,60.32,Month-to-month,2,0,,
20231,25,97.98,Month-to-month,3,0,,
20448,72,79.3,One year,2,0,,
20392,33,68.47,One year,3,0,,
20589,46,73.49,One year,1,0,,
20502,1,54.85,One year,1,0,,
20120,19,67.94,One year,4,0,,
20597,3,25.74,Month-to-month,3,0,,
20395,9,52.44,One year,1,0,,
20586,3,25.84,One year,2,0,,
20087,59,97.35,Month-to-month,7,0,,
20172,16,70.18,Two year,3,0,,
20028,40,93.21,One year,6,0,,
20511,20,65.74,Two year,1,0,,
20492,16,59.65,One year,3,1,70.0,67.49
20253,30,70.88,Month-to-month,5,0,,
20529,19,33.46,Month-to-month,7,1,51.0,40.14
20132,13,18.0,One year,0,0,,
20126,12,58.46,One year,1,0,,
20010,10,96.38,One year,3,1,40.0,124.18
20079,27,102.22,Month-to-month,3,0,,
20485,53,101.56,Month-to-month,2,0,,
20537,31,63.95,One year,1,0,,
20055,40,79.06,Two year,1,0,,
20389,16,44.82,One year,2,0,,
20353,37,94.3,One year,3,0,,
20488,1,38.63,Two year,0,0,,
20251,22,64.0,One year,3,1,49.0,80.22
20444,4,120.0,One year,2,1,50.0,108.27
20166,7,57.35,Month-to-month,2,1,8.0,73.22
20506,5,91.24,Month-to-month,3,1,9.0,113.24
20265,34,18.0,Month-to-month,3,0,,
20052,16,105.72,One year,1,0,,
20108,21,51.88,One year,5,0,,
20060,5,120.0,One year,2,0,,
20479,6,41.25,Two year,0,0,,
20560,14,82.1,Two year,1,0,,
20500,72,83.52,Month-to-month,4,0,,
20182,20,64.43,Month-to-month,3,0,,
20598,1,80.15,One year,3,0,,
20467,72,44.9,Month-to-month,3,0,,
20199,43,74.56,Month-to-month,0,1,25.0,80.03
20579,8,62.12,Two year,0,0,,
20280,31,38.25,Two year,4,0,,
20332,4,71.67,Month-to-month,1,1,5.0,60.55
20552,19,18.0,Month-to-month,4,0,,
20191,8,72.43,Month-to-month,2,0,,
20535,2,98.93,Month-to-month,4,0,,
20223,10,81.6,Month-to-month,1,1,23.0,98.35
20115,1,62.42,One year,2,0,,
20152,12,52.87,One year,4,1,87.0,50.34
20461,10,73.58,Month-to-month,2,0,,
20188,26,85.77,One year,3,0,,
20074,7,56.52,Two year,3,0,,
20241,13,120.0,Two year,2,0,,
20146,16,29.78,One year,2,0,,
20256,58,77.68,One year,1,0,,
20096,1,83.65,Month-to-month,0,1,89.0,78.98
20372,10,36.32,One year,1,0,,
20371,32,69.47,One year,0,0,,
20516,23,94.51,One year,2,0,,
20413,13,71.34,Month-to-month,2,0,,
20494,18,58.89,One year,0,0,,
20162,10,49.65,Two year,2,0,,
20427,6,67.39,Month-to-month,1,1,81.0,76.37
20244,20,18.0,Month-to-month,3,0,,
20417,9,86.35,Month-to-month,2,1,74.0,95.82
20344,5,28.03,Month-to-month,4,0,,
20323,44,75.81,Month-to-month,2,0,,
20562,23,56.17,One year,2,0,,
20031,2,109.64,Month-to-month,3,0,,
20374,1,69.76,Month-to-month,0,0,,
20599,4,81.56,Month-to-month,3,1,84.0,97.11
20057,21,55.56,Month-to-month,0,0,,
20487,16,18.0,One year,1,0,,
20510,15,79.21,Month-to-month,0,1,37.0,74.53
20423,1,93.46,One year,3,0,,
20150,72,44.32,Month-to-month,0,0,,
20534,5,63.8,One year,4,1,42.0,55.28
20184,30,71.5,Two year,4,0,,
20001,50,63.84,Two year,2,0,,
20388,5,35.63,Month-to-month,3,0,,
20565,9,51.13,Month-to-month,2,1,65.0,57.49
20127,45,66.76,One year,1,0,,
20295,5,96.31,One year,3,0,,
20045,1,65.96,Month-to-month,2,0,,
20314,3,53.42,Month-to-month,2,1,27.0,43.12
20110,6,30.88,Two year,0,0,,
20059,32,113.96,Month-to-month,3,1,66.0,125.45
20394,28,54.02,Two year,2,0,,
20457,6,46.53,One year,2,0,,
20361,15,81.85,One year,2,0,,
20440,14,82.23,Month-to-month,3,0,,
20175,1,105.9,Two year,3,0,,
20123,10,27.97,One year,4,0,,
