student_id,study_hours,attendance_pct,mock_test_1,mock_test_2,mock_test_3,income_bracket,city,enrollment_date,shoe_size,lucky_number,final_score
52,12.5,83.3,52.6,49.6,56.3,Low,Pune,2024-07-08,7.7,22,90.7
354,13.3,75.5,69.3,66.5,66.7,Low,Pune,2025-01-19,10.8,7,93.3
244,4.1,47.1,44.2,57.7,41.4,Low,Mumbai,2025-07-22,10.4,37,48.3
468,17.7,63.9,39.1,47.5,35.5,Low,Mumbai,2024-05-02,8.2,2,86.3
447,14.3,80.0,90.4,92.6,100.0,Low,Mumbai,2024-06-25,7.0,96,100.0
213,10.1,59.5,61.1,65.0,56.8,Low,Pune,2024-06-27,11.2,42,78.8
405,12.1,65.7,55.0,46.1,48.8,Medium,Bengaluru,2025-02-08,8.5,40,78.1
246,4.9,89.0,56.4,57.3,68.0,Medium,Bengaluru,2024-10-03,12.9,14,72.5
237,1.4,86.7,52.2,60.2,54.7,Low,Delhi,2024-05-23,7.8,48,69.5
356,10.9,75.2,62.8,53.9,76.4,Low,Delhi,2025-04-09,10.3,93,89.8
83,8.5,70.6,69.8,59.6,66.0,Low,Bengaluru,2024-03-21,7.9,92,79.1
364,5.8,76.3,79.1,75.8,91.3,Low,Delhi,2024-04-15,4.9,51,75.7
295,9.1,48.2,52.8,70.9,70.5,Low,Pune,2025-07-23,6.4,77,66.2
116,7.9,55.8,64.4,59.6,57.1,Medium,Bengaluru,2025-11-19,6.9,22,63.8
262,8.9,84.5,56.8,56.8,51.8,Low,Mumbai,2024-01-31,7.9,61,80.0
241,6.5,90.0,76.8,86.5,74.0,High,Mumbai,2024-02-22,8.7,76,93.1
424,4.1,66.4,87.8,78.4,77.2,Low,Pune,2024-09-10,7.9,95,72.7
414,,65.7,61.4,70.3,65.5,Medium,Mumbai,2024-08-25,8.3,14,96.1
463,3.6,60.0,45.6,46.3,49.0,Low,Mumbai,2025-07-30,6.6,39,66.9
490,12.7,67.8,54.5,62.7,71.0,Medium,Delhi,2024-05-29,8.0,18,81.5
377,9.2,74.8,72.7,71.4,60.4,Medium,Mumbai,2025-06-16,5.8,5,84.5
259,9.5,84.6,79.9,92.6,90.6,Low,Bengaluru,2025-09-14,8.9,46,94.6
398,10.9,62.1,60.0,56.2,57.7,Low,Bengaluru,2024-07-16,9.3,31,75.8
456,10.6,95.6,52.1,58.8,52.2,Low,Delhi,2025-03-21,8.8,58,99.1
203,10.4,59.5,67.2,66.8,71.3,Medium,Bengaluru,2025-08-02,6.8,34,72.2
268,11.4,66.7,75.0,68.6,80.4,Low,Mumbai,2025-10-15,8.3,20,84.0
189,4.5,68.1,68.3,81.3,76.9,Low,Delhi,2025-07-31,8.5,4,69.1
163,18.5,61.5,55.6,64.0,54.1,Low,Pune,2024-06-20,8.5,17,95.3
499,2.0,77.0,67.5,67.4,75.6,Low,Bengaluru,2024-06-12,8.8,10,64.4
221,9.1,73.6,65.6,59.9,60.4,Medium,Mumbai,2024-05-28,5.5,43,78.5
319,14.0,79.1,40.6,51.1,42.2,Low,Bengaluru,2025-03-17,8.7,2,90.3
457,14.3,67.7,99.9,100.0,97.7,Low,Mumbai,2025-10-05,8.6,18,99.6
66,13.2,86.1,55.3,58.1,53.4,High,Mumbai,2025-03-04,8.0,32,97.7
260,4.5,81.6,53.2,56.1,58.0,High,Pune,2025-02-08,8.3,25,62.7
437,7.9,57.7,53.2,47.5,42.8,High,Bengaluru,2025-11-03,6.9,57,79.4
351,11.5,69.6,52.4,60.1,55.3,Low,Mumbai,2024-08-21,8.7,63,79.5
361,9.4,60.3,58.3,63.8,45.5,Medium,Bengaluru,2025-05-29,7.3,48,79.1
471,11.4,70.8,60.2,58.9,67.8,Medium,Delhi,2025-07-26,8.0,72,80.3
296,10.7,73.2,70.7,78.2,76.7,Medium,Pune,2025-02-03,8.6,41,88.4
31,18.6,69.6,81.1,85.7,84.7,Low,Pune,2024-07-22,8.7,22,100.0
23,14.9,95.0,64.7,66.9,64.9,High,Bengaluru,2024-06-01,6.1,4,100.0
257,11.7,61.2,81.9,73.6,75.4,High,Mumbai,2024-04-12,10.1,47,86.3
32,8.4,60.9,64.9,60.1,66.3,High,Delhi,2024-08-10,6.7,18,78.7
423,7.6,76.8,54.3,75.2,58.2,Medium,Delhi,2024-06-10,6.1,93,81.5
53,4.2,79.4,58.2,68.6,59.0,Medium,Bengaluru,2024-09-12,8.3,72,67.7
477,14.3,91.6,80.1,79.3,86.7,High,Delhi,2025-02-08,8.6,36,100.0
243,3.0,59.7,88.3,76.9,80.3,Medium,Bengaluru,2024-05-08,7.4,87,70.0
265,11.9,80.1,52.9,62.1,56.0,Medium,Pune,2024-06-25,6.7,44,93.5
90,11.8,99.2,53.1,58.7,59.6,High,Bengaluru,2025-04-20,6.8,85,100.0
57,8.9,63.7,57.9,59.3,49.7,Low,Mumbai,2025-10-12,8.9,16,75.4
315,13.3,65.6,69.5,71.5,68.5,Medium,Bengaluru,2024-08-09,5.6,29,91.6
3,13.0,64.2,61.7,56.4,59.8,Medium,Mumbai,2025-09-19,9.2,74,86.4
59,6.5,56.3,66.6,58.2,70.4,High,Bengaluru,2024-11-27,8.2,43,70.7
214,8.1,74.8,48.6,60.0,42.5,Low,Bengaluru,2024-05-01,9.5,85,74.7
223,10.7,40.8,62.2,66.7,55.8,Medium,Pune,2025-06-21,8.5,79,73.1
448,8.7,31.0,77.3,80.0,85.3,Medium,Bengaluru,2024-12-31,6.5,73,63.6
201,11.4,91.7,33.4,36.9,45.3,Medium,Pune,2024-04-06,8.5,34,92.1
75,10.6,77.8,37.6,46.6,45.9,Medium,Bengaluru,2024-08-19,7.9,64,89.3
320,5.3,57.9,76.3,76.2,82.9,Low,Pune,2025-10-02,7.6,23,69.5
249,21.6,69.4,54.5,57.1,56.4,Low,Pune,2025-07-06,8.6,81,100.0
410,4.8,58.9,70.3,64.5,71.0,Medium,Delhi,2024-02-09,7.6,32,67.9
121,5.9,68.4,70.2,70.1,62.6,Low,Pune,2024-12-01,9.2,2,64.9
81,11.8,38.9,70.8,66.1,57.7,Medium,Delhi,2024-05-14,9.1,75,77.0
236,7.4,77.4,53.6,41.8,45.7,Low,Bengaluru,2024-12-19,8.8,77,75.9
27,12.1,96.8,34.5,30.7,26.9,Medium,Delhi,2025-05-17,11.4,14,86.7
169,9.4,67.2,55.5,49.4,53.7,Low,Pune,2024-12-13,5.2,64,72.1
452,,81.8,69.1,65.2,72.2,Low,Bengaluru,2025-06-16,7.7,59,86.1
239,5.8,50.7,64.4,63.9,84.0,Low,Bengaluru,2025-03-26,10.1,98,65.5
343,10.3,100.0,71.9,54.3,70.1,Low,Mumbai,2024-07-17,12.5,20,92.3
360,9.4,85.0,47.8,65.6,50.9,Medium,Mumbai,2024-07-19,8.2,50,83.2
110,3.1,83.1,70.3,73.9,64.6,High,Bengaluru,2025-02-17,6.8,34,74.0
51,11.2,80.8,32.0,46.0,31.3,Low,Bengaluru,2025-03-16,9.0,89,85.4
453,17.8,82.2,47.8,61.7,56.7,Medium,Delhi,2025-04-07,5.8,46,95.9
290,9.6,72.7,78.5,62.9,69.7,Low,Pune,2025-09-30,6.8,80,84.2
15,11.9,86.9,34.2,53.9,45.1,Low,Bengaluru,2024-05-19,6.4,19,86.9
363,14.0,74.1,42.5,31.9,29.3,Low,Pune,2024-02-10,7.6,83,83.7
115,10.3,62.9,57.5,64.5,50.4,Low,Pune,2025-08-24,8.1,97,82.1
369,10.8,66.2,76.5,73.4,79.1,Medium,Delhi,2024-11-01,8.5,54,86.6
4,13.8,52.5,71.5,71.0,72.4,High,Delhi,2024-11-21,8.5,98,85.1
205,1.8,90.7,51.7,56.7,51.5,High,Mumbai,2025-05-26,8.1,77,70.3
60,13.9,61.7,65.8,60.1,75.6,Medium,Delhi,2025-02-09,11.3,31,89.8
272,11.3,95.4,82.2,75.2,85.2,Low,Delhi,2024-01-10,7.1,59,99.9
160,5.3,70.1,39.5,34.3,41.4,Medium,Delhi,2025-08-24,10.1,91,59.9
407,9.5,71.6,64.0,65.6,70.7,High,Delhi,2024-07-08,7.0,95,85.2
99,11.6,78.6,84.1,63.8,63.1,Medium,Bengaluru,2025-08-26,6.8,16,91.9
147,7.6,84.2,66.4,61.4,76.9,Low,Delhi,2024-04-24,8.5,79,74.3
41,13.0,49.7,44.1,51.2,48.6,Low,Mumbai,2024-04-08,9.5,64,79.3
166,6.4,49.4,42.9,54.6,47.8,High,Mumbai,2024-11-26,8.4,58,60.9
42,12.2,62.6,79.6,78.6,77.1,Medium,Delhi,2024-09-09,7.5,98,83.9
341,0.8,100.0,44.5,56.9,47.0,Low,Delhi,2024-11-18,7.2,3,63.7
188,5.1,97.5,67.0,62.7,64.0,Medium,Mumbai,2025-02-28,7.7,15,81.1
327,,75.5,69.6,51.1,75.4,Low,Pune,2025-11-26,7.1,23,68.2
334,5.9,69.3,66.5,63.8,58.1,High,Bengaluru,2025-01-10,8.5,87,71.8
299,3.0,90.4,39.3,39.6,46.1,Medium,Mumbai,2024-09-18,7.4,40,61.2
80,8.8,80.5,83.6,76.0,89.8,Low,Bengaluru,2025-01-08,9.3,93,85.8
165,13.4,73.8,52.4,48.9,42.7,Low,Bengaluru,2025-06-21,13.2,44,85.7
29,11.7,78.9,47.1,61.2,66.4,Low,Pune,2025-10-08,7.5,87,85.7
146,8.3,72.9,70.7,66.2,69.4,Medium,Mumbai,2024-12-01,6.5,42,80.3
365,9.5,64.6,56.0,69.5,47.8,Medium,Mumbai,2025-02-16,9.7,16,79.4
238,9.3,87.1,67.4,68.0,67.1,Medium,Delhi,2025-09-28,7.8,97,85.2
278,5.6,81.0,85.6,95.6,81.5,Medium,Bengaluru,2025-02-28,6.8,45,81.4
58,16.0,59.5,70.8,55.3,71.2,Medium,Delhi,2025-05-18,6.9,86,79.6
454,18.3,57.6,50.1,49.1,39.0,Medium,Pune,2025-05-31,7.9,44,86.1
63,,75.8,48.3,54.8,61.1,Low,Mumbai,2024-02-15,7.7,72,77.2
112,,78.5,54.4,58.9,60.9,Medium,Pune,2025-12-01,7.3,69,82.6
85,5.2,85.7,60.9,67.8,64.4,Low,Mumbai,2025-11-27,9.6,51,72.3
485,9.8,80.6,66.9,71.1,63.7,Medium,Mumbai,2025-01-22,7.9,98,85.4
373,13.4,85.9,62.4,65.4,59.6,Medium,Delhi,2024-05-23,8.8,74,93.1
148,9.4,49.0,61.3,59.9,51.2,Low,Mumbai,2024-02-24,9.1,87,70.1
345,16.5,77.0,36.7,49.4,40.5,Low,Pune,2024-04-23,8.2,81,92.1
130,6.3,38.8,35.0,34.9,28.3,Medium,Mumbai,2025-11-05,4.4,91,48.7
432,11.9,81.7,43.6,52.2,51.3,Low,Pune,2025-04-27,7.9,48,84.5
97,4.7,67.2,85.6,88.9,91.1,Low,Delhi,2024-08-21,10.1,37,73.4
469,14.4,88.9,36.0,42.6,50.8,Low,Mumbai,2025-04-25,6.4,22,90.9
269,10.2,55.8,64.2,58.7,74.7,Medium,Mumbai,2025-10-31,8.0,85,71.4
142,6.0,85.5,28.2,23.2,24.7,Medium,Mumbai,2024-08-25,6.9,13,72.7
451,9.5,49.1,55.5,51.9,48.1,High,Bengaluru,2024-08-27,5.9,73,69.5
325,17.3,47.1,58.2,49.1,63.5,High,Bengaluru,2025-07-09,9.6,55,82.1
301,16.9,62.3,60.6,57.9,59.2,Low,Bengaluru,2024-10-27,7.6,13,91.4
293,15.9,82.7,55.7,61.3,49.4,Medium,Delhi,2024-08-25,7.7,6,91.4
284,11.8,88.4,66.0,73.6,78.3,Medium,Pune,2024-08-03,8.4,61,99.0
475,12.5,60.0,49.1,51.7,57.9,Medium,Bengaluru,2025-09-10,7.6,90,81.4
233,11.3,83.2,41.0,34.5,52.6,High,Delhi,2025-05-13,7.5,24,92.6
247,5.6,100.0,50.4,44.3,60.1,Low,Mumbai,2024-04-30,6.2,84,75.0
82,7.4,57.7,56.8,60.1,63.5,Medium,Delhi,2025-11-13,8.9,64,66.5
396,10.6,90.7,84.4,81.0,80.7,Medium,Bengaluru,2025-10-02,6.3,65,100.0
311,14.7,72.0,30.6,47.3,38.5,High,Pune,2024-03-06,7.0,19,88.2
493,8.9,100.0,52.1,55.3,50.3,Low,Mumbai,2024-07-04,6.8,84,79.3
422,6.7,62.0,63.0,55.2,58.2,High,Pune,2025-03-29,6.5,28,71.6
337,7.3,70.1,68.3,83.6,70.4,Low,Pune,2025-01-07,8.4,92,76.7
174,5.1,55.2,47.7,37.7,47.9,Low,Delhi,2024-03-26,7.4,87,65.6
302,3.9,58.7,31.4,23.4,34.6,High,Bengaluru,2025-08-23,7.4,34,56.7
54,8.7,100.0,94.5,100.0,84.2,Low,Pune,2024-07-27,6.2,11,100.0
409,,76.0,57.0,45.6,52.7,Medium,Delhi,2025-06-08,7.4,17,64.0
140,21.7,82.9,58.8,67.6,56.5,Medium,Delhi,2025-08-25,9.7,80,100.0
264,,84.6,46.9,52.1,58.6,Medium,Bengaluru,2024-02-10,8.0,90,81.7
275,16.3,75.2,57.4,51.4,48.1,Medium,Pune,2024-08-22,7.3,35,92.3
67,8.6,72.6,36.9,49.7,45.1,Low,Delhi,2025-01-26,5.8,55,70.9
495,8.8,73.4,55.2,61.2,51.8,High,Mumbai,2024-05-10,6.9,78,79.4
254,6.1,100.0,61.1,50.2,65.2,Medium,Mumbai,2025-09-30,9.7,17,79.4
285,5.6,75.2,65.0,63.7,63.2,Medium,Bengaluru,2024-01-09,9.7,77,73.4
359,6.5,45.9,56.2,61.1,51.8,High,Pune,2024-09-06,6.7,86,73.9
100,6.4,48.4,72.2,87.9,84.9,High,Bengaluru,2025-03-18,4.1,45,73.6
317,10.3,69.0,60.9,55.2,48.2,High,Mumbai,2024-01-25,9.9,59,87.8
149,14.3,77.5,74.2,73.1,77.0,Low,Bengaluru,2024-02-07,7.9,41,98.4
16,6.6,80.2,45.9,45.6,41.2,Low,Bengaluru,2024-02-17,7.5,88,69.4
164,6.7,69.9,48.2,41.2,28.8,Low,Delhi,2024-07-27,7.8,9,67.7
464,1.7,73.4,65.5,59.8,62.5,Medium,Delhi,2024-11-14,8.5,94,71.4
47,13.5,78.1,41.3,55.9,50.1,Medium,Delhi,2025-11-03,5.7,74,90.4
87,8.1,57.4,25.0,38.5,39.5,Low,Pune,2025-07-01,7.1,63,64.3
38,6.6,92.2,41.5,57.6,41.9,Low,Delhi,2025-05-18,8.3,62,78.0
411,4.1,63.7,49.0,48.3,50.8,Medium,Delhi,2025-02-01,8.9,71,62.3
381,10.4,78.4,82.7,76.7,80.2,Medium,Delhi,2024-01-06,7.5,65,92.3
194,15.8,41.2,68.1,71.5,69.1,Low,Mumbai,2024-11-16,9.6,8,76.6
173,8.2,64.3,59.1,56.4,55.5,Low,Pune,2025-01-15,5.4,39,73.2
74,12.0,61.5,36.0,34.5,37.2,High,Mumbai,2025-01-30,9.3,45,77.8
271,7.1,100.0,80.3,85.6,88.9,High,Bengaluru,2025-07-14,8.8,42,89.0
105,6.3,65.5,41.7,41.9,50.6,Low,Mumbai,2024-05-10,9.3,70,66.9
207,6.6,61.3,46.6,46.6,51.7,Medium,Pune,2025-10-18,11.5,33,66.2
297,11.2,89.9,34.4,51.8,39.7,Medium,Bengaluru,2025-10-15,10.8,16,88.2
17,11.5,85.0,56.5,60.6,60.8,Medium,Mumbai,2024-09-14,7.0,85,89.9
307,8.7,73.0,47.9,56.7,55.4,High,Bengaluru,2024-10-24,7.3,38,74.8
462,6.7,77.0,45.3,41.3,49.0,Medium,Mumbai,2024-08-21,5.9,51,72.3
89,11.9,78.5,63.9,66.0,71.7,Low,Bengaluru,2024-11-09,8.6,28,89.3
376,19.3,45.6,54.5,50.8,52.0,Medium,Pune,2025-08-11,8.1,71,97.3
141,11.7,52.6,77.0,85.2,89.3,Medium,Bengaluru,2024-04-22,9.5,45,83.2
195,5.6,62.6,81.5,90.0,97.4,Low,Pune,2025-03-07,8.9,79,72.9
103,8.6,94.1,76.6,64.7,68.4,High,Bengaluru,2025-08-10,7.2,53,99.9
385,3.6,58.6,21.7,37.8,33.7,Medium,Delhi,2024-11-12,8.5,95,52.4
175,4.9,87.5,57.4,60.7,57.3,Medium,Bengaluru,2024-11-28,10.2,69,74.4
171,7.4,86.8,42.2,37.7,46.9,Medium,Bengaluru,2025-09-26,11.0,93,78.2
240,7.9,41.3,83.9,81.4,91.6,High,Mumbai,2025-10-12,9.8,44,67.9
158,13.9,77.7,71.5,77.2,76.4,Medium,Pune,2025-07-21,6.4,68,99.7
71,4.9,53.3,57.2,55.0,70.7,Low,Bengaluru,2025-03-12,7.2,48,61.9
134,9.1,45.9,80.6,82.7,80.8,High,Mumbai,2024-04-17,8.8,31,80.9
460,9.9,81.1,61.8,53.9,77.1,Low,Mumbai,2024-02-07,7.4,68,80.7
494,11.8,94.7,49.7,39.4,58.3,High,Delhi,2024-08-03,8.4,78,89.8
368,6.7,68.9,84.0,77.6,89.1,Low,Delhi,2024-11-21,7.2,27,74.4
217,12.2,51.5,29.3,32.9,33.5,Medium,Pune,2025-09-27,6.5,1,72.6
228,17.5,86.5,48.2,54.8,50.3,Medium,Mumbai,2024-12-20,10.1,67,100.0
329,5.3,93.2,52.9,59.2,48.2,Medium,Bengaluru,2025-07-03,8.0,53,79.4
388,12.1,68.5,44.9,47.7,44.6,Low,Mumbai,2024-11-02,4.7,8,84.5
342,11.2,75.5,66.5,65.3,73.0,Medium,Mumbai,2025-02-09,6.6,37,87.5
358,11.1,81.4,58.7,54.3,53.2,High,Mumbai,2025-07-29,8.9,50,88.5
19,13.5,88.5,53.1,58.4,58.3,High,Mumbai,2024-09-29,7.0,87,100.0
178,10.6,81.3,64.4,65.3,65.3,High,Mumbai,2024-05-08,7.0,16,84.6
383,3.6,58.3,52.5,46.0,59.8,Low,Delhi,2025-07-23,10.9,2,64.4
21,,60.4,57.5,65.2,63.8,High,Bengaluru,2025-02-09,7.6,97,78.4
56,7.4,70.4,78.3,85.6,79.8,Medium,Pune,2025-06-20,8.9,97,88.0
281,11.9,74.2,82.8,85.3,86.9,Low,Mumbai,2024-11-28,9.7,74,91.5
426,8.6,100.0,39.2,53.1,51.7,Medium,Mumbai,2024-11-15,7.0,32,87.1
427,13.2,72.5,68.9,85.0,77.2,Medium,Delhi,2024-05-13,10.3,24,91.5
35,12.5,51.5,64.1,52.8,51.0,Medium,Bengaluru,2024-06-18,8.4,2,71.6
182,,84.4,66.7,74.2,71.5,Low,Pune,2025-01-04,9.6,4,89.9
185,11.7,68.5,56.0,49.4,50.9,High,Mumbai,2025-05-18,6.0,4,88.0
151,9.4,100.0,59.7,62.4,56.4,High,Delhi,2024-07-01,7.5,11,91.4
208,5.1,83.4,48.4,49.4,29.6,Low,Pune,2025-07-10,8.0,35,72.3
339,,100.0,100.0,100.0,100.0,Low,Bengaluru,2024-03-26,7.9,25,100.0
245,18.5,76.5,79.7,78.6,81.8,Low,Pune,2025-04-20,8.8,26,100.0
366,,87.5,66.6,74.5,58.1,Low,Pune,2025-06-17,7.9,44,98.9
435,13.7,79.6,55.5,62.1,59.0,Medium,Pune,2024-11-25,7.8,56,94.2
98,6.0,87.2,68.8,62.6,69.1,Low,Pune,2025-01-10,6.2,28,76.6
484,12.3,86.0,63.4,64.7,66.5,Low,Bengaluru,2025-08-11,8.6,70,87.5
442,11.3,88.3,66.0,68.8,73.0,High,Delhi,2024-06-23,8.6,5,92.3
155,9.8,83.8,69.0,71.8,70.3,High,Delhi,2024-04-01,6.9,45,100.0
123,10.9,79.0,53.3,43.9,58.0,Medium,Bengaluru,2025-01-09,7.7,43,75.2
114,4.2,81.7,56.9,57.6,54.0,Low,Bengaluru,2024-02-04,11.4,18,68.0
419,9.7,95.5,72.7,78.3,68.4,Medium,Bengaluru,2025-03-05,8.4,81,94.4
328,,73.2,45.5,45.0,47.7,Medium,Mumbai,2025-03-17,8.0,4,71.5
172,11.8,79.1,21.8,24.9,40.0,High,Mumbai,2024-05-12,7.8,34,82.1
109,13.4,49.7,78.2,74.8,84.5,Medium,Delhi,2024-09-09,8.0,85,90.2
79,12.5,71.2,37.9,38.3,58.8,Low,Delhi,2025-11-21,8.6,65,85.2
95,3.3,55.8,52.4,50.7,40.5,Medium,Pune,2025-08-09,7.8,18,57.0
62,8.7,80.0,82.7,92.1,82.1,Low,Mumbai,2025-05-22,7.0,67,88.7
444,15.3,93.0,68.5,86.0,79.8,High,Mumbai,2025-08-30,9.7,46,100.0
126,11.4,67.0,62.7,57.1,55.0,Medium,Delhi,2025-01-12,6.8,28,83.1
338,11.2,96.4,68.3,74.9,71.3,Medium,Delhi,2024-01-05,8.0,20,97.9
306,5.8,91.5,11.3,19.8,23.4,Low,Delhi,2025-07-18,9.2,91,70.1
482,15.7,52.0,65.1,63.2,77.7,Low,Mumbai,2024-07-28,7.1,66,88.5
92,9.6,78.7,51.7,63.9,73.1,Low,Delhi,2024-11-03,7.9,33,76.1
476,8.6,59.4,62.2,57.8,59.5,Medium,Pune,2025-03-01,6.0,55,69.0
418,15.3,82.9,81.1,71.1,85.9,Low,Pune,2024-03-09,6.3,49,100.0
274,18.4,95.3,75.8,71.0,64.6,Medium,Bengaluru,2024-02-09,7.6,51,100.0
352,,67.7,69.8,72.2,77.0,Medium,Delhi,2025-09-27,8.9,98,90.8
304,8.7,80.7,68.8,68.7,65.4,Medium,Pune,2024-12-02,10.1,24,83.2
406,8.9,100.0,63.5,60.5,70.7,High,Pune,2024-03-11,8.7,96,98.6
25,8.3,96.1,25.8,20.4,39.7,Low,Bengaluru,2024-11-01,9.3,40,79.3
434,2.7,99.7,43.2,36.1,41.8,Medium,Mumbai,2024-04-19,10.1,84,63.8
488,,80.0,34.8,44.5,48.9,Medium,Delhi,2025-09-10,9.5,40,81.1
496,13.7,80.3,45.8,56.7,38.8,High,Bengaluru,2024-03-05,10.7,90,86.6
127,15.9,68.8,72.5,99.8,94.7,Low,Delhi,2025-05-18,10.8,57,99.0
404,8.4,98.8,51.8,48.4,49.4,Medium,Bengaluru,2025-04-26,10.9,58,85.4
279,14.8,75.9,58.7,62.2,68.2,Medium,Bengaluru,2025-04-09,9.5,19,93.1
179,9.5,80.8,61.1,69.1,54.9,Medium,Mumbai,2025-08-14,7.2,45,81.2
431,5.8,75.1,45.6,46.8,51.5,Medium,Mumbai,2024-08-30,8.4,45,65.7
370,13.4,74.3,75.8,79.1,77.8,Low,Delhi,2025-07-27,6.7,66,91.1
224,5.7,52.6,83.3,67.0,72.8,Medium,Delhi,2024-12-10,6.8,85,62.2
348,12.4,87.8,42.3,44.9,45.3,Low,Mumbai,2025-06-19,6.6,54,91.8
94,9.7,50.2,58.3,67.6,67.0,Medium,Mumbai,2025-06-05,7.7,20,70.6
70,9.2,77.8,49.3,57.7,61.7,Low,Mumbai,2025-07-02,7.8,14,81.1
37,9.5,66.9,79.3,72.0,69.6,Medium,Delhi,2025-01-31,10.6,45,86.2
161,6.1,49.6,56.5,39.1,36.1,Low,Pune,2024-07-06,8.3,41,54.4
12,13.1,70.5,84.9,92.3,91.9,Medium,Pune,2025-05-27,9.8,91,98.3
145,6.7,69.9,51.3,55.9,68.9,Medium,Bengaluru,2024-07-22,9.1,66,71.7
353,7.7,88.6,38.8,40.4,48.8,Medium,Pune,2024-04-19,5.3,41,68.8
128,5.2,95.4,68.1,55.4,67.3,Low,Bengaluru,2024-01-20,7.5,99,72.5
282,3.0,73.8,28.0,27.5,23.5,Low,Pune,2025-09-03,10.3,27,60.1
10,6.6,82.0,66.5,69.4,63.8,Low,Delhi,2024-11-16,6.3,51,75.8
371,10.0,79.2,42.5,30.7,26.2,Low,Delhi,2025-10-17,4.6,9,79.1
177,16.3,100.0,54.5,51.5,58.0,High,Bengaluru,2024-08-05,6.7,68,100.0
232,7.6,75.9,43.0,36.7,35.3,Low,Delhi,2025-04-07,9.7,48,78.7
211,13.7,74.8,69.8,78.0,73.0,Low,Delhi,2025-06-11,7.4,28,86.9
129,7.4,59.4,58.6,58.9,51.4,High,Delhi,2025-06-27,9.2,69,67.3
144,,77.6,55.7,54.2,46.1,Low,Pune,2024-12-06,7.0,13,79.4
242,9.6,92.8,53.8,40.1,48.9,Medium,Bengaluru,2025-07-26,10.6,34,93.0
8,8.7,81.5,54.1,47.7,56.5,Medium,Delhi,2024-07-14,6.8,77,77.3
255,9.0,100.0,55.7,55.3,55.6,High,Delhi,2024-04-05,9.1,8,88.9
487,6.9,53.9,74.4,73.8,74.4,High,Bengaluru,2025-07-10,7.1,30,76.1
331,16.0,80.9,36.3,26.4,26.3,High,Mumbai,2025-02-01,11.1,58,85.8
