customer_id,signup_date,last_login_date,login_count,support_calls,churn
181,2025-02-14,2025-06-22,41,1,0
182,2024-02-20,2025-06-18,37,0,0
183,2024-06-25,2025-06-23,48,1,0
184,2023-09-18,2025-04-08,9,0,1
185,2025-01-04,2025-06-22,43,0,0
186,2025-04-03,2025-05-17,11,6,1
187,2024-06-09,2025-06-24,36,0,0
188,2024-04-27,2025-06-25,29,2,0
189,2024-08-17,2025-05-15,8,5,1
190,2023-09-10,2025-06-23,35,1,0
191,2023-11-20,2025-04-01,12,5,1
192,2024-04-28,2025-06-17,35,0,0
193,2024-08-26,2025-06-25,43,0,0
194,2025-04-21,2025-06-17,36,1,0
195,2025-02-08,2025-06-20,41,1,0
196,2023-08-11,2025-06-29,34,2,0
197,2024-01-04,2025-03-31,13,4,1
198,2023-12-23,2025-05-27,6,4,1
199,2024-02-23,2025-05-22,7,3,1
200,2024-08-20,2025-06-20,41,1,0
