student_id,attendance_pct,study_hours,prev_score,fee_delay_days,attendance_mode,attendance_pct_copy,study_minutes_scaled,random_numeric_noise,random_categorical_noise,at_risk
4039,100.0,6.6,11.9,20.1,Offline,100.5,394.9,44.6,D,0
4040,96.5,5.0,42.6,0.8,Offline,96.8,303.1,38.5,B,0
4041,92.3,8.5,58.1,9.9,Offline,92.1,509.4,67.6,C,0
4042,56.0,5.0,54.0,7.8,Offline,56.7,296.2,57.6,C,1
4043,100.0,9.5,23.9,18.9,Offline,99.7,572.4,52.0,C,1
4044,84.8,8.8,54.5,12.5,Offline,84.4,529.5,58.2,C,0
4045,91.2,5.4,68.5,6.7,Offline,90.9,328.6,52.3,D,0
4046,51.1,7.6,23.4,23.5,Offline,51.5,453.3,58.0,C,1
4047,82.0,7.9,54.8,1.2,Offline,82.5,476.2,55.5,C,0
4048,42.0,6.1,57.3,16.3,Offline,43.5,365.5,49.4,D,0
4049,89.0,7.1,74.9,6.5,Offline,88.5,427.8,48.4,A,0
4050,77.4,9.4,68.4,1.9,Offline,77.1,570.1,37.2,D,0
4051,80.6,1.8,45.6,14.3,Offline,81.0,108.6,43.5,D,0
4052,62.2,6.7,44.4,8.1,Offline,62.7,403.7,41.1,A,0
4053,81.7,7.2,61.5,17.1,Offline,81.3,435.1,34.6,B,0
4054,74.7,7.1,27.8,4.7,Offline,73.9,425.1,55.1,A,1
4055,51.0,4.3,71.8,27.3,Offline,51.2,255.2,51.5,C,1
4056,81.1,5.3,74.8,11.9,Offline,81.5,316.9,49.5,D,1
4057,73.5,5.6,70.6,1.9,Offline,74.7,336.6,48.8,D,0
4058,54.4,10.7,52.3,0.2,Offline,54.6,640.3,50.9,C,0
4059,91.9,4.3,47.4,5.3,Offline,92.4,259.0,50.9,B,0
4060,55.8,8.1,40.1,1.7,Offline,56.0,483.1,26.3,C,0
4061,65.0,8.9,53.5,1.0,Offline,64.7,528.9,44.5,B,0
4062,47.7,6.0,71.3,1.9,Offline,47.5,358.8,52.4,A,1
4063,50.4,11.0,54.5,18.1,Offline,50.0,664.0,79.6,A,1
4064,83.0,5.6,47.8,5.8,Offline,82.6,335.3,63.5,B,0
4065,100.0,4.1,69.3,21.6,Offline,100.7,252.7,52.7,B,0
4066,67.2,5.0,54.6,1.6,Offline,67.2,294.6,45.2,D,0
4067,72.5,6.7,61.7,1.6,Offline,71.9,398.2,54.2,A,1
4068,71.9,8.4,47.9,3.5,Offline,72.0,507.3,26.5,D,1
4069,92.5,3.3,72.7,3.5,Offline,92.7,199.4,49.5,D,0
4070,100.0,3.6,65.3,1.0,Offline,99.3,218.7,70.8,A,0
4071,82.5,8.9,40.9,3.2,Offline,82.3,534.0,59.9,B,1
4072,74.4,7.6,75.0,30.2,Offline,75.1,457.1,43.9,C,1
4073,92.4,4.5,54.9,13.9,Offline,92.6,266.1,44.4,B,0
4074,87.8,2.9,68.4,1.4,Offline,88.0,177.5,54.0,C,0
4075,73.3,1.6,62.7,3.2,Offline,72.9,93.3,51.2,D,0
4076,78.4,3.6,30.2,35.5,Offline,78.4,214.0,46.1,B,0
4077,63.6,8.0,48.6,2.9,Offline,63.9,486.1,51.8,B,1
4078,78.6,4.5,91.7,7.3,Offline,79.1,271.4,48.8,A,0
4079,55.5,9.1,57.5,18.3,Offline,55.3,550.8,58.3,D,1
4080,99.2,6.4,51.5,14.7,Offline,99.0,380.8,53.3,D,0
4081,99.0,2.9,51.5,4.2,Offline,99.1,170.9,43.1,B,0
4082,44.0,8.6,47.1,1.4,Offline,44.0,516.6,59.3,B,1
4083,44.3,6.4,59.3,3.8,Offline,44.6,384.7,42.3,B,0
4084,62.5,6.1,83.1,5.2,Offline,63.4,376.6,39.8,D,0
4085,73.6,8.1,50.2,4.9,Offline,73.3,480.3,52.5,B,0
4086,92.4,4.8,39.5,0.1,Offline,92.7,286.6,53.4,A,0
4087,69.7,14.0,60.7,10.9,Offline,69.4,837.8,64.7,B,1
4088,91.7,4.7,39.8,10.8,Offline,91.4,278.0,52.6,C,0
4089,50.6,5.9,56.6,5.6,Offline,50.6,354.8,61.2,C,1
4090,70.7,6.2,86.9,5.6,Offline,70.7,371.1,53.2,A,0
4091,72.4,11.0,73.5,7.6,Offline,72.0,650.8,39.2,A,1
4092,58.3,7.2,49.7,7.1,Offline,57.5,427.7,54.7,C,0
4093,59.9,3.8,97.8,0.0,Offline,59.9,226.6,50.8,D,0
4094,84.7,8.8,55.7,7.8,Online,85.0,532.8,62.5,B,0
4095,79.6,5.7,81.0,14.0,Offline,79.6,345.1,58.7,B,0
4096,89.6,6.0,56.7,4.1,Offline,89.3,359.0,59.5,A,0
4097,42.8,4.4,46.6,0.1,Offline,43.0,264.1,50.3,D,1
4098,99.1,9.5,51.6,8.0,Offline,99.4,565.0,34.3,D,0
4099,100.0,7.4,55.7,2.5,Offline,99.4,441.9,58.4,D,0
4100,100.0,4.8,73.0,2.9,Offline,100.2,292.2,48.6,D,0
4101,74.1,5.4,61.7,9.6,Offline,75.0,326.9,51.7,B,0
4102,64.4,8.7,74.2,6.9,Offline,65.5,515.6,49.6,B,1
4103,84.1,2.7,52.7,5.5,Offline,83.3,166.3,54.0,C,0
4104,77.4,8.8,91.1,3.8,Offline,76.9,526.7,54.2,D,0
4105,90.0,1.4,87.1,14.2,Offline,89.5,86.4,61.2,D,0
4106,37.9,7.4,56.5,7.9,Offline,38.4,440.9,51.0,B,0
4107,69.4,5.3,57.7,3.4,Offline,69.8,310.1,44.4,C,0
4108,78.5,7.4,55.8,16.3,Offline,78.2,436.0,53.6,A,0
4109,58.6,5.8,33.8,22.2,Offline,58.8,356.6,57.7,C,1
4110,58.3,11.2,18.4,25.8,Offline,57.5,675.2,44.0,B,0
4111,100.0,5.4,55.9,8.7,Offline,99.7,329.5,46.6,D,0
4112,83.4,4.7,51.2,20.7,Offline,83.9,284.3,39.9,D,0
4113,59.2,6.2,80.4,3.2,Offline,58.5,370.0,67.5,B,0
4114,100.0,3.6,58.8,3.1,Offline,99.3,215.8,57.8,A,0
4115,68.7,2.0,80.9,13.2,Offline,68.1,111.4,46.4,C,0
4116,60.4,4.7,68.6,9.6,Offline,60.3,279.7,46.2,C,0
4117,61.8,5.5,45.3,4.7,Offline,61.4,334.3,53.4,A,1
4118,64.9,3.1,90.8,6.4,Offline,65.2,187.4,55.4,D,0
4119,83.3,7.0,75.2,8.2,Offline,83.4,416.0,48.9,D,0
4120,74.0,4.7,63.4,35.0,Offline,73.4,287.2,40.2,C,0
4121,78.6,8.7,93.3,7.0,Offline,78.2,524.4,41.8,D,0
4122,66.8,7.4,44.0,21.1,Offline,67.4,444.1,47.3,D,0
4123,84.2,0.0,77.1,7.2,Offline,83.4,-2.5,60.2,A,0
4124,62.5,6.1,83.4,1.5,Offline,62.5,366.8,40.7,C,1
4125,80.2,6.2,71.4,6.5,Offline,79.9,368.8,62.2,B,0
4126,57.4,2.0,82.2,13.8,Offline,58.2,123.6,33.0,D,0
4127,91.5,7.6,47.4,4.1,Offline,92.0,456.2,47.7,A,0
4128,85.9,2.2,61.9,11.4,Offline,86.9,131.6,38.1,A,1
4129,71.0,4.9,66.4,14.8,Offline,71.2,292.5,53.5,D,0
4130,78.0,4.8,58.1,17.7,Offline,78.5,287.3,38.4,D,1
4131,65.8,9.8,89.2,2.0,Offline,65.5,592.3,57.6,A,0
4132,68.5,3.4,47.5,12.8,Offline,68.8,207.4,65.4,A,0
4133,78.6,7.5,77.4,14.1,Offline,77.8,449.7,47.0,D,0
4134,91.5,5.6,60.2,7.1,Offline,92.1,335.4,29.3,D,0
4135,48.3,5.7,69.1,1.0,Offline,49.3,341.5,60.9,C,0
4136,69.7,2.2,62.7,20.6,Offline,69.4,130.8,55.8,A,0
4137,86.7,13.7,52.3,3.8,Offline,86.3,824.0,50.2,C,0
4138,56.6,1.5,77.0,8.0,Offline,57.3,87.4,60.7,C,1
4139,54.5,4.6,38.0,18.5,Offline,54.5,273.3,36.4,B,0
4140,90.9,8.9,60.7,10.0,Offline,90.6,538.0,50.8,C,0
4141,67.9,5.1,74.5,15.3,Offline,67.6,307.1,30.7,D,0
4142,100.0,6.6,49.3,12.9,Offline,99.9,402.2,73.0,A,0
4143,88.7,4.1,65.7,18.0,Offline,89.0,242.2,71.0,A,0
4144,77.1,7.5,58.3,18.1,Offline,77.8,450.6,60.2,C,0
4145,73.8,7.3,33.6,11.2,Offline,73.6,441.9,54.3,D,0
4146,73.5,7.4,61.9,0.3,Offline,74.1,444.5,51.2,C,0
4147,71.7,4.4,73.5,3.9,Offline,71.9,262.3,45.6,C,0
4148,68.5,4.5,57.2,16.5,Offline,68.9,269.1,51.4,B,1
4149,53.5,4.7,81.1,6.8,Offline,53.2,280.9,66.5,D,1
4150,67.4,0.0,38.5,1.0,Offline,67.8,1.5,35.2,D,1
4151,80.4,4.6,59.5,11.7,Offline,80.5,280.3,51.4,D,0
4152,58.6,9.8,72.2,8.5,Offline,58.9,592.1,32.9,B,0
4153,57.1,2.7,55.3,5.0,Offline,56.9,160.5,51.7,A,1
4154,63.4,8.1,60.7,0.5,Offline,63.1,479.4,47.1,D,0
4155,100.0,5.7,50.8,3.2,Online,99.6,340.2,71.1,A,0
4156,97.0,5.4,45.7,0.6,Offline,96.6,324.2,45.9,A,0
4157,84.8,2.0,70.0,1.4,Offline,84.4,116.4,59.8,A,0
4158,66.5,8.9,99.0,7.5,Offline,67.4,534.9,43.5,D,0
4159,90.6,3.8,55.9,5.1,Offline,90.8,231.4,34.9,A,0
4160,47.2,6.1,64.3,24.8,Offline,47.0,372.0,46.1,B,1
4161,86.3,7.4,73.0,2.1,Offline,85.8,443.4,77.9,D,0
4162,77.2,8.7,53.2,0.6,Offline,77.0,523.6,52.2,A,0
4163,100.0,6.6,79.9,6.5,Offline,99.6,392.0,64.3,D,0
4164,85.2,6.2,61.0,3.0,Offline,85.3,371.2,63.2,D,0
4165,68.3,5.4,86.2,3.3,Offline,68.4,320.4,54.0,C,0
4166,78.9,9.1,63.2,0.0,Offline,78.4,549.8,44.1,A,0
4167,63.6,2.4,45.1,7.9,Offline,63.6,142.0,26.1,C,0
4168,81.9,5.2,72.9,5.2,Offline,82.4,309.7,38.8,B,0
4169,68.2,5.0,36.9,7.0,Offline,68.7,298.0,61.2,D,0
4170,86.8,6.7,76.3,11.6,Offline,86.6,397.0,47.1,B,0
4171,90.4,6.4,43.7,6.2,Offline,90.4,381.3,56.4,B,0
4172,57.3,7.2,44.4,2.5,Offline,56.7,429.4,58.6,C,1
4173,97.5,3.9,46.9,7.9,Offline,97.5,234.5,60.1,C,0
4174,32.2,4.6,75.3,13.9,Offline,31.5,274.8,45.3,B,0
4175,54.8,8.0,54.3,15.8,Offline,54.5,478.6,66.4,C,0
4176,87.4,10.6,82.4,3.0,Offline,87.8,634.2,47.4,B,0
4177,87.4,5.5,72.5,1.8,Offline,86.9,329.3,57.5,A,0
4178,100.0,4.2,63.8,42.0,Offline,100.3,252.5,44.8,A,0
4179,71.5,7.8,66.9,0.7,Offline,70.8,462.9,68.6,B,0
4180,73.7,6.0,54.8,1.1,Offline,73.6,362.2,55.3,C,0
4181,88.1,1.8,60.0,6.3,Offline,87.6,103.5,38.6,A,0
4182,65.8,9.1,46.5,6.2,Offline,66.4,544.3,48.1,C,1
4183,83.5,5.5,60.3,1.4,Offline,84.2,331.6,60.5,A,0
4184,65.7,7.9,47.0,17.3,Offline,66.1,473.3,55.1,B,1
4185,68.4,4.1,70.2,24.4,Offline,69.3,249.6,49.8,B,1
4186,88.7,1.8,63.1,6.9,Offline,88.5,109.5,57.6,B,0
4187,84.0,6.2,59.9,0.2,Offline,84.5,376.2,57.1,B,0
4188,61.2,6.5,74.2,1.1,Offline,61.1,389.5,48.4,D,0
4189,96.6,7.3,47.0,2.1,Offline,96.5,431.5,72.7,A,0
4190,52.6,7.0,74.6,19.6,Offline,52.5,421.4,58.6,D,0
4191,81.6,10.5,67.4,8.0,Online,81.3,627.0,50.0,D,0
4192,87.1,8.7,27.7,0.3,Offline,87.5,526.3,53.5,B,0
4193,67.9,7.3,59.3,12.9,Offline,69.3,437.8,49.7,C,1
4194,55.7,5.1,64.8,18.7,Offline,56.0,303.8,58.9,D,1
4195,59.3,3.1,49.3,6.3,Offline,58.8,183.8,57.5,D,0
4196,78.2,7.5,74.6,5.7,Offline,78.7,452.9,42.0,C,0
4197,100.0,5.9,34.7,6.0,Offline,100.5,357.5,78.8,C,0
4198,71.3,6.6,48.6,8.4,Offline,71.2,395.9,46.4,C,0
4199,45.5,4.7,46.2,11.0,Offline,46.4,279.0,46.7,C,0
4200,66.5,6.5,82.7,3.0,Offline,66.0,384.3,35.2,A,0
4201,48.0,6.7,67.3,2.2,Offline,48.1,406.0,40.7,A,1
4202,95.4,6.3,39.9,7.7,Offline,94.7,377.4,35.1,C,0
4203,83.7,5.8,85.6,0.1,Offline,83.3,346.8,40.1,A,0
4204,82.7,4.7,88.9,21.7,Offline,82.9,277.7,41.5,C,0
4205,42.0,7.7,81.5,17.4,Offline,42.7,466.5,49.0,C,0
4206,49.3,7.4,35.5,24.4,Offline,49.8,441.8,62.3,B,1
4207,55.5,3.1,50.9,13.4,Offline,56.1,184.7,57.4,C,1
4208,70.8,4.1,59.4,7.6,Offline,70.3,245.5,31.5,D,0
4209,70.9,4.2,64.2,6.9,Offline,70.9,256.9,43.0,D,0
4210,65.5,4.5,70.0,21.0,Offline,65.0,264.7,55.9,A,1
4211,90.0,4.4,60.6,42.2,Offline,89.5,262.2,44.1,D,1
4212,57.3,3.4,73.5,0.9,Offline,57.5,204.5,55.1,B,0
4213,92.4,1.6,61.9,11.4,Offline,93.1,95.7,53.4,C,0
4214,83.8,9.0,41.7,1.4,Offline,83.7,536.1,40.8,A,0
4215,60.1,4.2,56.9,2.4,Offline,60.4,252.9,56.8,A,0
4216,68.3,5.5,42.7,3.3,Offline,67.3,330.7,51.2,C,0
4217,100.0,9.1,51.8,5.0,Offline,100.8,549.2,43.0,A,0
4218,81.0,7.4,72.7,11.2,Offline,79.8,444.4,65.3,C,0
4219,55.5,9.3,78.8,6.5,Offline,54.8,554.7,55.0,D,1
4220,72.7,4.1,72.0,3.2,Offline,73.5,247.4,53.1,A,0
4221,69.1,6.3,40.2,1.9,Offline,69.0,372.0,62.5,B,0
4222,85.5,8.7,46.7,1.4,Offline,85.2,524.4,59.7,B,0
4223,64.1,5.8,69.0,14.2,Offline,64.3,347.0,59.9,D,0
4224,87.6,4.2,75.2,23.8,Offline,88.3,252.6,57.0,A,0
4225,69.7,7.1,35.0,8.2,Offline,69.4,427.5,64.5,C,1
4226,65.2,9.3,36.9,37.4,Offline,64.5,552.2,50.8,B,1
4227,91.2,2.0,55.3,16.5,Offline,91.1,120.1,61.2,B,0
4228,80.2,8.3,62.6,4.5,Offline,80.0,498.9,61.6,B,0
4229,47.4,7.5,65.5,1.2,Offline,47.2,448.4,64.8,B,1
4230,77.3,3.3,48.8,2.7,Offline,77.5,207.8,66.0,A,0
4231,74.6,4.7,81.2,11.0,Offline,74.7,282.9,59.9,A,0
4232,80.0,7.2,32.6,0.2,Offline,80.0,434.2,51.9,C,0
4233,93.2,1.0,61.7,0.4,Offline,93.1,58.1,50.6,C,1
4234,51.6,5.5,66.3,4.7,Offline,52.0,332.3,53.0,C,1
4235,84.6,6.4,71.0,0.1,Offline,84.0,391.8,55.9,A,0
4236,69.0,5.0,60.2,7.5,Offline,68.9,299.0,71.3,C,1
4237,87.7,5.2,75.8,11.7,Offline,87.6,310.6,46.1,A,0
4238,60.8,0.4,61.1,7.4,Offline,61.0,25.0,59.3,C,0
4239,78.2,2.0,34.8,4.5,Offline,78.9,129.8,45.3,B,1
4240,98.8,4.9,54.5,2.1,Offline,98.3,295.2,44.8,C,1
4241,74.6,12.2,62.1,4.7,Offline,74.6,735.9,57.1,B,0
4242,87.2,6.1,38.8,15.2,Offline,87.2,364.9,61.8,C,0
4243,34.7,7.0,88.4,7.1,Offline,34.7,426.0,39.8,D,1
4244,56.9,6.2,32.2,52.3,Offline,56.2,371.7,56.8,A,1
4245,58.4,7.7,59.9,0.1,Online,58.6,461.7,58.9,C,1
4246,70.3,3.1,76.0,17.0,Offline,69.9,186.0,55.7,C,1
4247,71.0,11.7,47.5,31.0,Offline,71.1,702.6,45.0,B,0
4248,85.5,4.6,77.2,20.9,Offline,85.8,275.2,56.3,B,1
4249,57.1,2.1,35.3,3.8,Offline,56.6,121.5,51.3,A,0
4250,100.0,5.1,32.9,1.6,Offline,99.7,300.6,55.6,A,1
4251,100.0,6.5,58.9,0.1,Offline,99.0,393.0,57.3,D,0
4252,64.7,6.5,65.6,26.4,Offline,64.8,388.0,28.0,A,0
4253,86.7,2.6,75.3,6.7,Offline,86.6,153.8,58.1,C,0
4254,100.0,7.0,73.9,12.5,Offline,100.3,423.8,43.1,D,0
4255,70.2,5.1,76.4,5.2,Offline,69.9,303.1,52.7,A,0
4256,79.3,10.2,78.5,26.8,Offline,79.5,606.8,53.2,A,0
4257,92.7,5.5,68.2,6.1,Offline,93.3,335.0,59.5,D,1
4258,94.3,10.2,66.3,3.8,Offline,94.1,613.6,51.6,D,0
4259,79.7,2.3,48.0,5.5,Offline,79.3,137.5,57.2,C,0
4260,74.3,6.6,34.7,12.3,Offline,74.2,398.3,38.0,B,1
4261,84.2,10.6,76.5,7.5,Offline,84.5,633.7,67.4,C,0
4262,74.4,9.0,86.1,3.7,Offline,74.0,539.6,67.9,A,0
4263,93.4,8.2,52.6,33.0,Offline,94.4,487.8,44.1,B,0
4264,72.9,6.6,55.6,20.4,Offline,74.0,394.6,26.6,B,0
4265,70.1,7.7,63.6,6.3,Offline,70.2,458.9,39.7,A,0
4266,62.9,8.7,40.0,42.9,Offline,62.1,524.8,56.7,D,1
4267,100.0,2.6,51.0,26.1,Online,101.3,162.0,51.7,B,0
4268,68.9,8.1,54.2,3.9,Offline,68.9,486.7,43.9,B,1
4269,56.0,8.1,32.6,2.6,Offline,55.7,490.4,51.5,C,0
4270,84.3,4.3,74.7,11.0,Offline,84.1,256.4,30.5,D,0
4271,67.0,8.0,49.8,3.2,Offline,66.8,485.1,52.4,A,1
4272,85.2,3.9,60.1,13.3,Offline,84.9,240.2,51.3,B,0
4273,73.7,4.8,34.5,6.5,Offline,73.7,283.8,32.9,D,0
4274,76.3,7.8,26.5,4.3,Offline,76.2,465.7,45.7,A,1
4275,75.7,0.0,53.6,3.9,Offline,76.0,4.0,39.7,A,0
4276,80.3,4.2,54.6,9.9,Offline,80.3,253.6,55.9,C,0
4277,72.7,2.6,51.6,4.9,Offline,73.1,153.4,61.6,B,0
4278,61.7,4.4,54.6,15.7,Offline,61.5,265.2,40.0,A,1
4279,79.3,2.8,56.5,2.1,Offline,78.3,168.5,43.8,A,0
4280,82.7,4.5,45.6,3.9,Offline,82.6,266.2,41.4,A,0
4281,49.6,5.9,56.6,10.8,Offline,50.5,351.1,57.6,C,1
4282,68.7,7.2,73.5,16.6,Offline,69.6,430.4,62.4,D,0
4283,79.6,7.2,82.6,4.8,Offline,80.1,433.8,34.7,A,0
4284,87.0,9.4,84.6,8.2,Offline,86.6,558.3,69.6,D,0
4285,100.0,8.8,43.6,2.4,Offline,99.6,525.5,50.4,C,0
4286,89.8,8.6,58.5,12.7,Offline,89.2,516.1,48.0,C,0
4287,86.5,4.9,53.1,23.4,Offline,86.8,292.5,66.4,A,0
4288,76.7,6.1,52.7,2.3,Offline,76.4,368.5,50.3,A,1
4289,80.8,7.8,83.0,10.6,Offline,81.2,463.3,30.0,A,0
4290,74.3,2.0,53.3,3.9,Offline,74.0,120.2,54.7,D,0
4291,84.7,4.6,50.7,5.9,Offline,84.7,282.6,60.0,B,1
4292,43.8,5.5,45.3,10.0,Offline,44.3,329.5,38.5,B,1
4293,73.1,5.0,54.5,6.7,Offline,73.2,307.0,56.0,B,0
4294,100.0,6.1,48.1,4.4,Offline,99.8,366.7,50.9,A,0
4295,66.2,5.9,60.8,38.9,Offline,66.3,354.8,48.5,A,1
4296,53.7,10.2,54.8,1.0,Offline,53.6,609.5,51.6,D,1
4297,66.1,4.9,85.1,15.4,Offline,66.9,292.7,40.0,A,0
4298,73.1,1.8,69.9,9.7,Offline,73.9,104.4,55.1,D,0
4299,90.8,2.5,38.6,9.6,Offline,90.6,149.5,27.7,C,0
4300,44.9,3.2,57.1,0.1,Offline,44.2,195.9,42.1,A,0
4301,71.0,6.2,64.7,15.2,Offline,71.3,367.7,47.8,D,0
4302,94.2,8.2,71.3,11.2,Online,94.5,489.3,61.4,B,0
4303,81.3,7.1,40.5,10.5,Offline,81.0,430.0,28.9,A,0
4304,62.2,3.7,40.5,5.6,Offline,62.5,221.7,58.9,B,1
4305,94.8,7.3,52.6,16.8,Offline,94.5,436.0,53.2,C,0
4306,76.6,10.5,71.6,22.0,Offline,77.0,624.2,54.7,A,0
4307,73.5,5.1,66.8,7.1,Offline,72.5,302.9,57.0,A,0
4308,76.1,5.5,66.0,10.3,Offline,75.7,324.9,43.6,D,1
4309,67.4,8.0,25.6,1.6,Offline,67.4,485.1,48.9,C,1
4310,90.0,7.2,16.2,19.8,Offline,89.7,430.3,54.1,D,0
4311,92.6,3.2,48.5,12.9,Offline,93.1,193.2,56.3,A,0
4312,78.8,0.0,56.7,3.7,Offline,79.6,-2.2,60.0,B,0
4313,86.6,2.2,55.1,14.1,Offline,85.8,131.2,51.3,B,0
4314,76.2,9.1,60.9,3.1,Offline,77.0,546.1,42.2,C,0
4315,70.5,2.3,39.1,22.2,Offline,71.1,140.6,59.4,C,1
4316,77.5,6.1,91.1,3.5,Offline,76.6,361.4,59.9,C,0
4317,70.2,5.7,37.6,4.7,Offline,70.7,335.7,58.1,C,0
4318,74.6,4.2,70.8,14.8,Offline,74.9,255.1,55.7,B,0
4319,73.5,2.6,77.4,10.1,Offline,73.8,157.7,54.2,C,1
4320,97.9,4.6,35.7,13.3,Offline,97.2,280.0,57.8,A,0
4321,50.3,4.4,51.8,18.8,Offline,50.4,260.4,45.4,D,1
4322,68.9,9.1,59.2,12.1,Offline,68.3,544.3,58.2,D,0
4323,86.6,6.2,50.5,6.2,Offline,87.0,375.2,50.3,D,0
4324,64.6,12.5,36.6,11.8,Offline,65.7,749.1,52.9,D,0
4325,72.3,8.9,59.5,29.5,Offline,70.9,533.0,44.0,A,1
4326,75.3,6.9,52.7,6.7,Offline,75.5,414.4,32.5,D,1
4327,73.3,2.0,48.4,5.2,Offline,73.1,121.9,57.2,D,0
4328,77.2,5.7,61.7,1.8,Offline,77.2,345.7,63.2,B,0
4329,63.1,4.2,63.6,0.4,Offline,63.4,258.8,57.9,B,0
4330,67.7,6.2,53.5,16.0,Offline,67.8,370.7,51.4,C,1
4331,58.5,4.2,49.2,15.4,Offline,59.0,250.9,49.3,A,1
4332,68.6,4.4,59.3,6.5,Offline,69.2,260.7,47.9,C,1
4333,62.2,10.5,33.8,6.9,Offline,62.4,630.7,42.1,C,1
4334,50.0,5.7,42.3,9.8,Offline,49.8,339.8,50.4,A,1
4335,72.3,6.4,63.6,4.7,Offline,71.4,379.5,61.6,C,1
4336,75.3,4.8,61.7,8.1,Offline,75.0,289.9,46.3,D,0
4337,77.4,6.4,64.7,9.6,Offline,78.3,379.8,58.2,D,0
4338,75.5,10.5,41.6,17.2,Offline,75.6,624.5,48.1,D,0
4339,85.8,3.0,58.2,5.8,Offline,85.4,175.9,55.1,B,0
4340,79.1,6.0,41.1,1.9,Offline,78.9,365.9,67.2,A,0
4341,76.6,4.9,54.0,0.8,Offline,76.8,299.5,55.6,D,1
4342,90.9,7.8,61.5,0.0,Offline,90.1,462.3,43.6,B,0
4343,76.3,2.4,32.2,0.9,Offline,75.7,145.0,46.5,C,0
4344,62.1,9.7,53.1,0.3,Offline,62.0,574.9,34.3,C,0
4345,86.3,7.5,46.0,3.2,Offline,85.3,445.8,47.0,A,1
4346,76.1,6.7,56.8,2.7,Offline,76.6,396.7,43.8,B,0
4347,50.3,3.4,81.4,2.3,Offline,51.2,205.1,57.6,A,1
4348,68.1,6.3,51.0,3.0,Offline,67.1,383.4,46.1,C,0
4349,58.6,10.4,62.7,30.3,Offline,58.5,624.7,53.2,B,1
4350,80.0,7.7,72.6,20.9,Offline,80.3,464.4,47.9,C,0
4351,70.3,3.9,43.6,1.4,Offline,70.5,239.3,54.9,B,0
4352,44.8,3.6,50.9,11.8,Offline,44.9,214.6,36.6,D,1
4353,57.2,2.7,61.8,0.5,Offline,57.7,162.5,59.5,B,0
4354,92.5,9.1,55.0,18.3,Offline,92.7,549.8,60.5,C,0
4355,73.7,3.9,60.4,7.4,Offline,73.1,234.7,56.1,C,0
