customer_id,credit_score,annual_income,debt_to_income_ratio,employment_years,num_late_payments_12m,num_credit_lines,loan_amount,age,has_mortgage,num_dependents,monthly_expenses,savings_balance,num_previous_loans,avg_previous_loan_amount,region,credit_score_copy,random_noise_1,random_noise_2,random_noise_3,default
762,698,27700.0,0.428,10.2,1,3,6500.0,35,1,2,1250.0,3310.0,2,3140.0,West,695.0,37.64,18.92,Z,0
422,603,32000.0,0.395,7.8,0,10,8400.0,43,1,1,300.0,5540.0,1,2880.0,West,605.0,49.12,28.12,Y,0
394,599,52700.0,0.159,0.5,3,10,7700.0,28,1,1,1990.0,800.0,4,24700.0,East,602.0,51.89,46.89,Z,0
344,620,59400.0,0.234,1.2,0,6,20400.0,45,1,0,3170.0,2540.0,0,4460.0,East,628.0,50.3,95.77,X,0
841,595,50800.0,0.232,16.0,1,8,13600.0,27,1,0,1660.0,1700.0,1,3770.0,South,596.0,55.51,45.61,Z,0
800,708,84100.0,0.487,3.5,0,4,7300.0,25,1,2,2100.0,3740.0,1,8600.0,East,712.0,35.71,99.19,Y,0
121,697,57300.0,0.249,7.0,0,5,7400.0,52,0,1,1970.0,12940.0,2,9120.0,East,701.0,26.76,5.8,X,0
347,565,104700.0,0.4,2.5,0,8,9100.0,39,1,0,1000.0,72500.0,4,6450.0,East,566.0,54.94,2.46,Y,0
1000,646,115400.0,0.305,2.0,1,4,3200.0,50,0,1,2030.0,25740.0,2,17980.0,North,649.0,48.51,81.0,Y,1
913,552,106900.0,0.567,2.5,2,13,5200.0,46,1,1,1700.0,2470.0,3,13080.0,North,550.0,52.31,0.94,X,0
827,663,31000.0,0.457,15.3,0,5,9200.0,42,0,0,2150.0,4750.0,4,11250.0,West,663.0,54.07,0.67,Z,0
117,618,100800.0,0.126,16.2,0,10,15200.0,40,1,0,2190.0,2280.0,2,7310.0,West,620.0,41.35,65.1,Z,0
346,685,53300.0,0.338,8.6,0,6,7300.0,46,0,1,4010.0,14660.0,1,2580.0,North,689.0,52.8,28.71,Y,0
667,684,42500.0,0.39,3.9,0,4,4800.0,21,1,1,2390.0,7100.0,1,2730.0,East,685.0,52.56,81.3,Y,0
564,668,72000.0,0.276,1.7,1,10,6600.0,43,0,1,1450.0,72810.0,5,11160.0,West,665.0,39.87,41.22,X,1
737,700,52500.0,0.361,1.5,0,9,11800.0,49,0,2,1900.0,8250.0,2,15640.0,West,698.0,33.52,32.32,X,0
997,636,23300.0,0.252,33.2,1,8,10200.0,53,0,0,380.0,47710.0,3,2640.0,South,634.0,46.98,37.91,X,0
549,712,32200.0,0.206,0.6,1,11,19200.0,41,0,1,1450.0,3600.0,3,11790.0,East,710.0,53.53,89.83,X,0
528,713,45300.0,0.206,7.8,0,11,5200.0,32,1,0,1970.0,27000.0,1,5160.0,East,713.0,53.96,15.06,Y,0
305,773,72000.0,0.273,28.6,0,5,6600.0,43,0,0,2320.0,1790.0,0,4780.0,North,776.0,56.69,89.59,X,0
969,606,25100.0,0.433,3.9,2,6,8700.0,58,0,2,3850.0,1610.0,0,7480.0,East,611.0,74.1,61.68,X,1
165,649,76600.0,0.149,35.0,0,5,15800.0,44,1,0,1170.0,2150.0,1,14520.0,South,648.0,68.58,66.28,Y,0
795,665,36300.0,0.501,2.2,0,9,24500.0,46,0,1,2520.0,113420.0,2,8390.0,West,664.0,54.69,86.54,Z,0
310,750,56600.0,0.517,10.3,0,10,8500.0,57,0,3,1080.0,61070.0,1,13800.0,North,745.0,60.08,50.99,Y,0
543,732,40300.0,0.541,1.8,0,9,26500.0,52,0,2,1620.0,4930.0,1,8440.0,South,735.0,51.18,35.68,Z,0
270,723,144300.0,0.296,11.7,0,5,5600.0,60,0,3,790.0,2360.0,3,22890.0,South,719.0,36.45,62.21,X,0
842,699,44300.0,0.383,5.6,3,8,12100.0,21,0,2,2070.0,16740.0,3,6010.0,North,703.0,55.54,69.58,Z,1
808,745,41300.0,0.042,8.1,0,3,6300.0,42,1,0,4030.0,2300.0,2,3620.0,West,742.0,53.42,3.76,Y,0
430,666,34100.0,0.171,13.6,0,8,14000.0,45,1,1,300.0,31970.0,3,5380.0,South,662.0,45.68,63.05,Y,0
863,656,45100.0,0.541,2.0,0,11,7500.0,34,0,0,2910.0,6750.0,1,8370.0,West,659.0,61.3,91.08,Z,0
73,761,35900.0,0.099,10.8,2,4,5600.0,34,0,1,2940.0,23120.0,4,10950.0,West,760.0,53.95,82.11,X,0
573,648,66000.0,0.567,4.7,2,5,8400.0,33,0,1,870.0,28240.0,0,8660.0,South,651.0,46.62,68.54,Y,0
609,782,87300.0,0.457,16.0,1,5,6300.0,49,1,3,2590.0,4710.0,2,1190.0,West,780.0,45.19,71.88,Y,1
845,634,71800.0,0.392,7.4,0,4,13200.0,37,0,2,800.0,7420.0,0,3340.0,North,631.0,64.53,39.21,Y,0
268,651,25000.0,0.406,11.5,0,5,8200.0,42,1,0,3120.0,1170.0,1,6710.0,South,651.0,45.09,80.98,Z,0
963,821,105300.0,0.264,9.9,0,5,19000.0,36,1,1,1420.0,37730.0,4,7450.0,South,818.0,60.0,70.34,X,0
463,708,39100.0,0.327,1.3,1,6,5100.0,47,1,2,3260.0,19390.0,1,5000.0,North,707.0,35.21,71.88,X,1
194,590,54900.0,0.359,5.9,1,2,15100.0,33,0,0,2550.0,8200.0,4,10170.0,East,588.0,41.08,61.02,Y,1
858,728,41800.0,0.405,0.4,0,11,8300.0,55,1,2,2930.0,4240.0,0,8280.0,West,727.0,48.65,99.16,Y,0
601,797,42000.0,0.273,1.5,0,3,10900.0,48,0,1,1550.0,2770.0,2,8070.0,East,796.0,31.61,66.57,X,0
585,721,59000.0,0.424,3.5,0,9,11400.0,25,1,2,2540.0,1340.0,2,17440.0,North,726.0,66.21,17.14,Z,0
252,632,33700.0,0.398,12.1,0,6,12900.0,43,0,1,3130.0,3250.0,5,8270.0,South,634.0,53.27,74.07,Y,0
651,684,73100.0,0.154,12.9,1,5,24300.0,21,0,0,1880.0,24540.0,1,6880.0,West,680.0,46.65,96.47,X,0
885,692,39000.0,0.458,4.2,0,10,6900.0,49,1,0,2090.0,4720.0,1,5750.0,East,688.0,42.05,14.46,Y,0
794,692,66200.0,0.307,8.0,0,7,20800.0,21,1,0,1490.0,3270.0,0,4530.0,North,693.0,58.12,59.15,Z,0
483,767,44800.0,0.462,2.5,1,9,15800.0,27,0,2,1060.0,1130.0,1,11460.0,East,765.0,44.74,79.92,Y,0
915,714,108800.0,0.301,8.2,0,6,6100.0,66,1,0,1460.0,11410.0,3,8620.0,South,716.0,42.75,70.22,Y,1
312,698,32500.0,0.348,0.8,0,3,8300.0,24,0,2,1600.0,1850.0,1,4610.0,East,695.0,54.37,29.34,Y,0
331,603,37900.0,0.162,3.7,2,5,13100.0,51,1,0,2980.0,2180.0,0,7650.0,South,602.0,43.28,17.46,X,0
247,661,32500.0,0.535,7.3,0,7,11300.0,48,0,0,3270.0,8670.0,0,7670.0,West,659.0,36.14,22.4,Y,0
63,565,60700.0,0.256,1.7,0,13,5900.0,57,0,2,1710.0,4480.0,1,4860.0,West,563.0,37.92,82.04,Z,0
490,598,91100.0,0.26,3.5,1,10,16100.0,51,0,0,2490.0,8490.0,2,16370.0,South,596.0,57.15,76.45,Z,0
41,761,45600.0,0.338,0.5,1,6,23800.0,38,0,1,2240.0,5830.0,2,5360.0,North,759.0,69.67,71.08,X,0
496,742,82400.0,0.632,3.4,0,8,8400.0,39,1,3,3220.0,360.0,4,6340.0,South,736.0,37.81,56.05,Z,0
399,596,127500.0,0.268,4.4,0,4,8900.0,41,1,2,2730.0,38390.0,1,8830.0,North,597.0,36.11,10.02,Y,0
112,719,32400.0,0.291,5.8,1,10,28100.0,47,1,2,2100.0,8820.0,2,4730.0,East,725.0,45.14,49.63,Z,0
345,733,45300.0,0.369,0.2,1,9,26600.0,52,0,1,2550.0,17420.0,0,17750.0,West,731.0,42.98,58.61,Z,0
56,708,47800.0,0.48,26.2,1,8,13900.0,39,0,1,3100.0,800.0,6,3590.0,North,707.0,53.58,16.03,Y,0
918,695,151000.0,0.328,4.8,1,9,5700.0,38,0,1,3230.0,13240.0,3,8590.0,East,699.0,68.67,41.82,Y,1
760,604,50100.0,0.368,8.2,0,6,9700.0,48,0,1,1460.0,23300.0,5,12850.0,West,606.0,46.35,38.38,X,0
212,597,13800.0,0.222,11.2,0,8,11900.0,43,1,1,1730.0,8380.0,2,5100.0,East,597.0,69.84,45.55,Y,0
17,758,49400.0,0.249,6.0,0,8,5700.0,31,1,2,1920.0,30960.0,2,16570.0,North,759.0,53.5,24.23,Z,0
565,673,31200.0,0.297,16.8,1,9,14500.0,36,1,0,2200.0,2060.0,0,3440.0,East,677.0,49.46,50.25,Y,0
92,602,93800.0,0.192,2.2,0,6,6600.0,42,1,2,2370.0,16350.0,5,7060.0,South,603.0,38.66,67.71,Y,0
343,686,41900.0,0.288,16.8,0,4,6400.0,33,1,0,2620.0,3120.0,2,7070.0,South,683.0,47.69,59.41,Y,0
123,723,51600.0,0.237,4.9,0,5,13600.0,44,1,2,3080.0,6600.0,3,8360.0,East,722.0,46.42,40.55,Y,0
725,748,47900.0,0.345,2.3,0,3,25000.0,37,1,1,3240.0,1520.0,4,6550.0,North,748.0,58.42,29.35,Y,0
782,755,39700.0,0.096,5.1,0,4,9500.0,36,0,1,3550.0,6430.0,2,5350.0,South,751.0,46.29,96.28,Z,0
520,735,69500.0,0.325,10.0,1,11,8200.0,26,1,0,920.0,13260.0,2,2740.0,South,734.0,63.26,56.61,X,0
260,677,86200.0,0.333,11.4,1,8,6900.0,25,1,0,2180.0,13410.0,1,2570.0,North,674.0,54.86,66.37,X,0
285,805,87300.0,0.07,7.2,1,4,7000.0,21,0,1,2960.0,7450.0,2,6830.0,North,803.0,63.21,77.02,Y,0
454,585,29500.0,0.329,0.6,0,7,9800.0,22,1,0,1960.0,2820.0,1,3770.0,South,586.0,44.08,35.01,Z,1
40,780,97000.0,0.273,0.0,0,12,9300.0,36,1,1,2460.0,1720.0,2,6390.0,South,785.0,48.8,13.51,X,0
890,680,133000.0,0.348,6.0,1,6,5200.0,46,0,0,2180.0,11990.0,0,13170.0,South,675.0,52.79,63.76,Y,0
104,691,41400.0,0.151,0.6,1,8,13400.0,33,0,1,2210.0,810.0,4,2650.0,West,689.0,50.87,13.2,X,0
19,589,65600.0,0.483,11.3,0,4,23200.0,51,0,1,3730.0,28810.0,0,3070.0,South,590.0,44.9,79.4,Y,0
986,645,60000.0,0.435,1.0,0,7,6400.0,28,0,0,2960.0,40470.0,2,8370.0,West,645.0,24.07,79.83,X,0
125,704,67700.0,0.315,1.3,0,4,6900.0,34,0,2,1400.0,39290.0,4,3290.0,North,702.0,53.61,97.57,Y,0
409,616,47600.0,0.384,5.3,1,6,12700.0,31,0,1,3250.0,7440.0,3,4850.0,North,617.0,55.38,7.72,X,0
238,614,133200.0,0.468,13.8,0,10,13000.0,21,1,4,2250.0,7130.0,0,4060.0,West,618.0,28.14,50.07,X,0
629,589,36100.0,0.319,1.0,1,8,13500.0,27,0,0,2970.0,1470.0,2,3490.0,North,588.0,53.31,25.76,Y,0
587,760,134700.0,0.08,0.7,1,3,4700.0,41,0,1,1430.0,5540.0,2,3520.0,South,760.0,46.26,25.85,X,0
561,664,67800.0,0.344,1.8,1,6,11500.0,33,0,2,1200.0,1520.0,2,9830.0,West,664.0,45.2,0.7,Z,1
25,570,55900.0,0.103,3.1,0,10,6000.0,26,0,2,2700.0,2850.0,2,12460.0,West,570.0,79.08,75.77,X,0
534,650,14200.0,0.416,5.9,3,4,8800.0,38,1,2,1720.0,1880.0,1,6080.0,North,644.0,44.93,23.4,Y,1
645,640,98200.0,0.494,1.9,3,10,10000.0,33,0,2,2520.0,3010.0,2,15380.0,East,644.0,39.9,6.64,X,1
846,699,16000.0,0.448,4.4,0,6,5700.0,23,0,0,2880.0,2710.0,4,4620.0,South,692.0,35.57,87.11,Y,0
749,560,216400.0,0.277,24.6,1,8,8300.0,40,1,1,3800.0,11720.0,0,5290.0,North,562.0,41.03,80.91,Z,0
381,676,75000.0,0.19,3.5,0,6,7800.0,46,1,2,2420.0,3480.0,3,10650.0,East,681.0,57.39,82.52,Y,0
45,756,70900.0,0.319,1.4,1,10,6000.0,47,1,1,2700.0,18020.0,1,8870.0,West,755.0,69.07,90.71,X,0
31,802,116200.0,0.503,4.1,0,4,12600.0,39,1,2,1500.0,4540.0,3,5220.0,West,807.0,48.57,63.78,Y,0
570,749,32700.0,0.61,6.9,0,10,8700.0,29,1,0,1510.0,940.0,2,3980.0,South,750.0,55.33,87.07,Y,0
413,699,111500.0,0.44,4.3,2,8,10800.0,63,0,0,3620.0,5650.0,1,12910.0,West,700.0,41.86,28.66,Z,0
603,667,146900.0,0.351,35.0,0,7,9900.0,43,1,0,2190.0,2530.0,0,2970.0,South,663.0,65.9,35.4,X,0
61,633,72100.0,0.463,0.6,0,7,8100.0,21,0,0,2160.0,6920.0,0,4500.0,South,636.0,53.09,49.57,Z,0
907,617,50200.0,0.609,0.7,0,10,4700.0,21,0,0,320.0,3880.0,2,5800.0,East,621.0,45.04,4.45,Z,0
301,661,107700.0,0.362,0.4,1,7,23100.0,54,0,3,3300.0,1160.0,1,29120.0,South,664.0,47.85,76.02,Z,0
78,697,38200.0,0.273,2.8,1,8,9900.0,39,0,1,2690.0,510.0,4,7620.0,East,699.0,63.85,91.33,Z,0
18,683,30400.0,0.43,8.0,0,8,12300.0,33,0,0,3560.0,9470.0,1,2840.0,West,684.0,55.65,12.74,Y,0
730,648,33000.0,0.368,7.7,2,6,2600.0,55,0,1,1430.0,6220.0,4,5360.0,West,649.0,52.17,40.75,Z,0
229,551,38000.0,0.345,3.7,1,9,15200.0,43,1,2,1280.0,2030.0,1,12990.0,West,543.0,65.11,88.65,Z,1
55,568,50600.0,0.462,8.8,0,8,8400.0,47,0,1,2680.0,7760.0,3,5740.0,South,571.0,45.97,22.93,Z,0
336,682,74200.0,0.517,0.4,1,8,23600.0,26,1,2,320.0,360.0,6,12080.0,North,682.0,52.01,9.85,Y,0
705,561,93700.0,0.273,5.0,1,12,5600.0,58,0,4,2290.0,1350.0,4,6170.0,West,564.0,42.82,12.27,Y,0
69,761,44000.0,0.082,4.3,0,6,3800.0,28,1,1,2660.0,2720.0,4,8530.0,South,760.0,46.24,40.47,Z,0
326,682,60800.0,0.368,1.3,0,9,3600.0,65,0,2,2730.0,2080.0,1,5130.0,East,678.0,47.63,90.07,X,0
335,667,42100.0,0.301,10.8,1,6,5900.0,54,0,2,3200.0,5070.0,0,12790.0,West,670.0,47.96,94.8,X,1
745,688,60700.0,0.48,0.7,3,5,12800.0,34,1,2,1340.0,15320.0,1,13170.0,South,684.0,33.79,49.96,Z,0
445,496,56400.0,0.281,4.9,1,6,26000.0,33,0,1,2900.0,1960.0,3,9490.0,West,494.0,36.6,83.68,Z,1
945,664,22500.0,0.178,2.3,2,4,11700.0,38,0,1,910.0,8240.0,2,2930.0,West,668.0,67.03,34.46,Y,1
33,770,72500.0,0.335,2.8,0,4,6300.0,45,0,4,1560.0,9620.0,2,11520.0,West,773.0,45.54,50.71,X,0
610,714,35700.0,0.402,6.4,2,9,6500.0,39,0,1,3740.0,2560.0,1,8220.0,West,719.0,54.94,37.38,Z,0
280,716,33300.0,0.515,0.5,0,5,5700.0,31,1,0,2630.0,1350.0,1,13770.0,North,712.0,49.31,5.44,X,0
48,526,40000.0,0.469,12.5,0,4,5700.0,24,1,0,3810.0,4180.0,1,10720.0,North,527.0,48.41,97.88,X,0
577,696,99900.0,0.447,6.8,0,10,6000.0,59,0,4,1610.0,1050.0,3,3390.0,North,702.0,50.58,85.65,X,0
844,792,45100.0,0.519,0.1,0,5,6300.0,29,1,0,2240.0,5200.0,1,1130.0,West,790.0,59.57,63.25,X,0
765,650,49500.0,0.216,2.2,1,13,13000.0,39,1,0,3110.0,37830.0,3,5620.0,East,649.0,38.32,83.86,Z,0
866,752,45200.0,0.036,0.3,0,6,5200.0,47,0,2,720.0,2650.0,3,17630.0,West,749.0,53.34,2.69,Y,0
371,697,26500.0,0.449,7.9,0,11,10400.0,40,0,0,2240.0,6630.0,4,7930.0,East,703.0,39.57,65.93,X,0
812,685,63500.0,0.576,1.6,2,7,11900.0,46,1,0,490.0,1740.0,0,17510.0,West,687.0,65.43,10.12,Y,1
922,680,31800.0,0.373,5.9,1,10,18000.0,62,0,0,3150.0,25730.0,3,3290.0,West,676.0,46.26,70.3,Y,0
935,681,73300.0,0.321,11.1,0,8,12000.0,31,0,3,2390.0,1780.0,0,5230.0,South,677.0,50.16,84.06,Y,0
661,597,44900.0,0.074,4.1,0,4,10200.0,39,1,1,2190.0,7960.0,3,19570.0,North,599.0,62.41,36.05,X,0
805,631,47200.0,0.397,1.8,0,7,17000.0,36,0,1,2630.0,16480.0,1,6120.0,South,631.0,60.92,15.92,X,0
977,737,82100.0,0.269,5.0,1,10,16900.0,42,0,1,2640.0,670.0,2,5620.0,North,738.0,62.93,33.4,Y,0
707,686,94900.0,0.456,3.6,1,8,10100.0,54,0,2,2050.0,2990.0,3,4530.0,North,681.0,31.2,14.79,X,0
190,576,24200.0,0.474,4.5,0,5,10100.0,49,1,0,2890.0,6610.0,2,12960.0,North,573.0,57.4,6.62,X,0
144,690,56400.0,0.26,2.9,1,9,9400.0,53,1,0,4030.0,1650.0,1,13190.0,West,694.0,50.87,11.49,Z,0
676,548,34200.0,0.486,10.9,0,10,5900.0,29,0,1,3270.0,12470.0,2,10620.0,South,549.0,47.89,18.89,X,0
990,686,88100.0,0.27,0.2,0,9,11300.0,21,1,3,2650.0,5250.0,2,3900.0,North,688.0,35.18,17.26,Y,0
658,593,48200.0,0.322,5.3,0,3,4700.0,49,1,0,2510.0,2440.0,4,21270.0,East,588.0,57.33,37.11,X,0
151,705,60500.0,0.178,9.0,1,8,29900.0,52,1,0,1550.0,34820.0,3,2490.0,North,711.0,53.6,19.3,Z,1
438,619,45100.0,0.365,1.7,2,8,9000.0,36,0,2,1700.0,6760.0,3,9880.0,North,613.0,45.51,38.41,Z,1
717,586,25900.0,0.425,4.3,0,3,10400.0,45,1,0,3170.0,2320.0,3,1570.0,North,586.0,54.02,80.44,X,0
563,596,119400.0,0.396,3.0,0,3,25100.0,35,0,0,2640.0,2000.0,1,4270.0,East,596.0,65.0,12.7,Z,1
772,707,41600.0,0.128,2.2,1,9,2800.0,45,0,0,2230.0,3590.0,0,9150.0,East,707.0,63.21,75.15,X,0
766,659,48400.0,0.147,35.0,2,8,6000.0,35,1,1,490.0,3710.0,1,8280.0,West,666.0,29.72,1.53,X,0
411,798,117700.0,0.408,0.1,0,7,9200.0,45,1,0,1450.0,6210.0,0,5140.0,East,795.0,50.25,99.67,Z,1
636,748,101900.0,0.386,15.1,0,7,9800.0,50,1,1,1530.0,6050.0,2,6900.0,East,746.0,30.95,76.65,Z,0
656,618,33300.0,0.5,2.3,2,10,18300.0,43,0,2,3900.0,1230.0,2,5710.0,South,619.0,76.0,8.59,X,0
211,750,31100.0,0.278,0.7,0,9,21000.0,44,0,0,3740.0,5400.0,4,3260.0,South,749.0,58.61,81.23,X,1
373,672,59900.0,0.373,1.9,1,2,29100.0,25,1,0,950.0,2400.0,4,2030.0,East,668.0,55.16,52.55,Y,0
160,550,60900.0,0.203,6.2,1,5,8700.0,37,0,1,3780.0,28410.0,1,3270.0,South,548.0,49.07,33.83,Z,0
363,780,64400.0,0.421,17.7,1,7,13100.0,30,0,1,300.0,1890.0,3,6520.0,East,780.0,44.14,59.23,X,0
946,725,57700.0,0.164,10.7,1,6,25700.0,33,0,3,1070.0,4060.0,2,6440.0,North,724.0,61.19,46.32,Y,0
510,651,93600.0,0.29,10.5,0,5,6800.0,33,0,0,4060.0,18110.0,2,5660.0,North,647.0,45.99,67.39,Y,0
674,602,199300.0,0.134,0.1,1,14,10000.0,30,0,2,2230.0,3130.0,2,1830.0,South,604.0,44.07,4.92,Y,0
446,680,54900.0,0.141,3.7,1,5,22300.0,48,1,0,1790.0,15490.0,2,22380.0,East,683.0,47.17,68.07,X,0
924,660,118200.0,0.428,3.5,0,5,5200.0,34,0,0,2230.0,5830.0,0,3350.0,South,659.0,41.35,1.71,Z,0
552,619,42700.0,0.288,5.2,0,10,3700.0,29,1,1,1770.0,3250.0,1,11960.0,West,618.0,60.04,23.2,X,0
912,778,40400.0,0.239,14.6,1,4,10200.0,26,1,1,3410.0,4100.0,0,8070.0,South,777.0,53.53,59.76,Z,0
28,705,25500.0,0.342,9.6,0,4,3200.0,52,1,0,2580.0,2010.0,1,17460.0,South,706.0,45.58,71.23,Z,0
82,535,100100.0,0.437,11.3,0,4,4900.0,50,1,2,2610.0,20620.0,3,7280.0,East,537.0,32.99,83.66,Y,1
736,684,105600.0,0.129,4.6,3,7,13300.0,32,1,0,2610.0,3130.0,2,6730.0,West,681.0,59.65,75.0,X,0
296,581,63000.0,0.25,1.9,0,11,4700.0,36,0,1,2610.0,2630.0,1,7460.0,East,580.0,50.38,7.26,X,0
988,643,87000.0,0.119,2.1,1,8,4700.0,47,1,0,2410.0,2040.0,2,9490.0,South,644.0,43.62,93.12,Z,0
442,672,46000.0,0.4,1.9,0,10,24500.0,32,1,2,2410.0,1710.0,3,3390.0,West,670.0,34.15,62.48,Y,0
685,655,47100.0,0.385,1.9,0,7,2800.0,39,0,1,3570.0,6240.0,1,4480.0,South,654.0,49.65,44.06,Y,0
583,693,26000.0,0.288,1.8,0,6,8600.0,33,1,0,2660.0,29970.0,1,19800.0,West,692.0,52.81,21.87,Z,0
504,695,69000.0,0.34,0.4,2,5,16100.0,41,0,2,3250.0,670.0,3,3610.0,South,695.0,47.66,7.82,X,0
982,753,34600.0,0.303,3.1,0,1,7400.0,38,1,2,2550.0,42740.0,0,6620.0,East,750.0,57.19,18.04,Y,0
830,631,58100.0,0.232,0.9,0,8,17600.0,43,0,0,2310.0,12420.0,1,15370.0,East,627.0,43.85,4.7,Y,0
635,754,132500.0,0.296,5.0,0,7,23500.0,33,1,1,3650.0,10490.0,2,5250.0,West,752.0,40.6,50.9,Y,0
