customer_id,tenure_months,monthly_charges,contract_type,support_calls,churn,days_since_cancellation,retention_offer_after_cancellation,final_bill_amount
10083,10,46.52,One year,1,0,,0,
10359,21,81.61,Month-to-month,3,1,75.0,0,65.86
10360,4,84.75,One year,1,0,,0,
10085,17,59.46,Month-to-month,5,1,85.0,1,61.71
10392,12,54.99,One year,1,1,83.0,1,65.05
10563,1,39.61,Month-to-month,3,0,,0,
10180,72,18.0,One year,6,0,,0,
10100,14,52.29,Month-to-month,3,0,,0,
10367,17,18.0,Month-to-month,5,1,53.0,0,14.88
10075,13,80.48,Month-to-month,1,0,,0,
10008,56,64.63,One year,2,0,,0,
10378,41,77.42,Month-to-month,1,0,,0,
10274,72,71.34,Month-to-month,0,0,,0,
10280,45,83.6,One year,1,0,,0,
10155,12,59.03,Month-to-month,1,1,31.0,1,53.66
10361,5,83.41,Month-to-month,4,0,,0,
10192,4,75.88,One year,1,0,,0,
10540,3,120.0,Two year,3,0,,0,
10357,10,18.0,Month-to-month,2,0,,0,
10411,13,74.3,Month-to-month,2,0,,0,
10051,21,71.5,Month-to-month,0,0,,0,
10039,61,90.96,One year,2,0,,0,
10209,2,31.03,Month-to-month,2,1,64.0,1,30.0
10006,68,74.52,One year,3,0,,0,
10076,15,56.63,One year,2,1,49.0,1,60.72
10249,5,101.21,Month-to-month,2,0,,0,
10048,24,70.12,Month-to-month,2,1,85.0,0,58.11
10303,57,32.02,Month-to-month,1,0,,0,
10071,31,81.64,Month-to-month,0,1,59.0,1,77.85
10454,24,87.12,Month-to-month,2,1,37.0,0,77.34
10226,15,44.0,Month-to-month,2,0,,0,
10287,2,64.47,Month-to-month,4,1,29.0,0,55.66
10012,6,78.58,Month-to-month,2,0,,0,
10151,54,37.89,Month-to-month,2,0,,0,
10465,12,94.32,Month-to-month,2,1,79.0,0,87.34
10116,14,56.46,Month-to-month,5,0,,0,
10282,28,72.68,One year,2,0,,0,
10254,57,49.96,Month-to-month,2,0,,0,
10196,58,62.21,Month-to-month,2,0,,0,
10558,27,44.47,Two year,1,0,,0,
10066,22,67.92,One year,1,0,,0,
10366,1,90.68,One year,3,0,,0,
10379,45,90.58,Month-to-month,3,0,,0,
10220,30,46.89,Month-to-month,5,1,81.0,1,54.3
10340,33,51.6,Month-to-month,1,0,,0,
10070,27,29.08,One year,2,0,,0,
10094,1,116.44,Two year,3,0,,0,
10069,11,23.84,Month-to-month,1,1,15.0,1,27.52
10022,1,113.94,Month-to-month,5,1,59.0,1,117.98
10078,5,42.75,One year,1,0,,0,
10420,15,40.83,One year,2,0,,0,
10407,8,57.84,Month-to-month,3,0,,0,
10237,19,68.71,One year,5,0,,0,
10433,42,79.58,Month-to-month,2,0,,0,
10315,10,87.5,Month-to-month,1,0,,0,
10126,4,52.45,Month-to-month,4,0,,0,
10229,19,52.89,Month-to-month,6,1,3.0,0,47.08
10391,35,90.7,One year,3,0,,0,
10043,45,90.72,One year,4,0,,0,
10005,4,87.43,Two year,4,0,,0,
10435,24,85.8,Month-to-month,2,0,,0,
10065,1,40.59,One year,1,0,,0,
10461,21,83.75,Month-to-month,3,0,,0,
10110,2,56.47,One year,2,0,,0,
10256,1,120.0,One year,1,1,8.0,1,133.88
10390,11,42.49,Two year,2,0,,0,
10206,20,60.88,Month-to-month,0,1,39.0,0,69.07
10460,1,18.0,Month-to-month,2,0,,0,
10148,10,67.3,One year,2,0,,0,
10007,1,49.98,One year,2,0,,0,
10450,14,54.88,One year,1,0,,0,
10291,18,81.62,Two year,1,0,,0,
10595,27,30.84,One year,2,0,,0,
10491,8,47.99,One year,1,0,,0,
10500,3,51.47,Two year,3,0,,0,
10597,1,51.74,Month-to-month,2,1,75.0,1,43.72
10387,2,58.91,Month-to-month,4,0,,0,
10260,3,73.16,Month-to-month,2,0,,0,
10283,39,58.05,Month-to-month,3,0,,0,
10123,3,19.94,Month-to-month,2,1,70.0,1,18.25
10079,41,55.96,Month-to-month,1,0,,0,
10592,4,61.36,One year,1,1,30.0,1,66.51
10321,8,47.34,Month-to-month,3,0,,0,
10560,45,41.84,Month-to-month,2,0,,0,
10152,34,55.66,One year,1,0,,0,
10300,12,68.02,One year,1,0,,0,
10403,22,55.45,One year,3,0,,0,
10164,18,48.06,Month-to-month,1,1,89.0,0,53.24
10472,9,24.96,Two year,2,0,,0,
10326,9,49.02,Two year,2,0,,0,
10266,16,67.74,Month-to-month,3,1,79.0,1,87.17
10583,11,51.31,Month-to-month,4,1,54.0,1,57.47
10452,4,44.46,Month-to-month,1,0,,0,
10476,25,58.26,Month-to-month,3,0,,0,
10302,1,103.69,Month-to-month,4,1,56.0,0,98.26
10279,37,76.51,Month-to-month,5,0,,0,
10144,2,101.07,Two year,1,1,61.0,1,98.85
10586,7,87.42,One year,0,0,,0,
10456,72,55.65,Month-to-month,0,0,,0,
10200,14,65.95,Month-to-month,4,1,4.0,1,69.67
10042,35,53.11,Month-to-month,5,0,,0,
10575,11,55.64,Month-to-month,2,1,6.0,0,52.48
10542,5,68.49,One year,1,0,,0,
10468,48,93.95,Two year,4,0,,0,
10365,34,63.05,One year,1,0,,0,
10232,5,41.07,Month-to-month,2,0,,0,
10246,7,50.53,One year,0,0,,0,
10314,30,18.0,Month-to-month,1,0,,0,
10168,2,18.0,Month-to-month,1,1,28.0,0,19.8
10333,39,94.8,One year,2,1,36.0,0,121.16
10467,11,86.73,Month-to-month,3,0,,0,
10441,14,56.23,Month-to-month,1,1,41.0,1,62.27
10264,5,58.01,One year,0,0,,0,
10030,1,60.35,Month-to-month,4,1,84.0,1,67.38
10239,32,20.65,Month-to-month,2,0,,0,
10251,12,93.98,Month-to-month,1,0,,0,
10163,11,103.85,Month-to-month,2,0,,0,
10150,18,62.91,Month-to-month,3,0,,0,
10227,10,84.61,Two year,0,0,,0,
10354,27,57.05,Month-to-month,0,1,12.0,1,72.04
10522,34,52.77,Two year,4,0,,0,
10095,17,59.16,Two year,2,0,,0,
10599,24,21.46,Month-to-month,1,0,,0,
10222,17,89.47,Month-to-month,4,0,,0,
10086,20,82.51,Month-to-month,3,1,51.0,1,75.69
10389,18,67.07,One year,3,0,,0,
10188,1,26.67,Month-to-month,4,1,44.0,1,26.13
10090,9,120.0,Month-to-month,3,1,15.0,1,105.83
10449,17,43.17,One year,3,0,,0,
10035,1,42.12,One year,1,0,,0,
10218,30,48.97,One year,2,0,,0,
10073,7,61.47,One year,1,0,,0,
10306,7,100.21,One year,4,1,45.0,1,87.48
10221,56,64.04,Month-to-month,0,0,,0,
10429,1,108.91,Month-to-month,5,0,,0,
10523,11,48.08,Month-to-month,2,0,,0,
10396,48,74.79,Month-to-month,3,0,,0,
10395,18,73.97,One year,2,0,,0,
10111,72,22.74,Month-to-month,3,1,31.0,1,20.41
10368,47,80.84,Two year,2,0,,0,
10413,8,47.11,Month-to-month,0,1,20.0,1,52.09
10013,18,82.05,Month-to-month,1,0,,0,
10344,31,50.86,Month-to-month,2,0,,0,
10199,32,80.79,Two year,4,0,,0,
10214,72,57.97,Two year,4,0,,0,
10571,20,105.44,One year,3,0,,0,
10235,8,28.86,Month-to-month,2,0,,0,
10559,10,23.98,Month-to-month,1,0,,0,
10421,8,104.77,Month-to-month,5,1,73.0,0,120.32
10432,10,40.67,Month-to-month,2,1,16.0,1,49.98
10488,10,48.98,Month-to-month,2,0,,0,
10217,13,67.3,Two year,6,0,,0,
10097,4,95.3,One year,1,0,,0,
10443,14,58.35,Two year,2,0,,0,
10298,47,59.52,Month-to-month,2,0,,0,
10064,18,61.89,Two year,3,0,,0,
10223,2,120.0,Month-to-month,6,1,23.0,0,147.72
10096,2,55.84,Month-to-month,0,0,,0,
10014,21,107.52,One year,2,0,,0,
10328,2,96.5,Month-to-month,5,1,63.0,0,100.75
10436,46,63.91,Month-to-month,4,0,,0,
10018,15,84.67,Month-to-month,3,0,,0,
10506,12,34.95,Two year,0,0,,0,
10247,28,35.77,Two year,4,0,,0,
10532,24,91.48,Month-to-month,4,1,4.0,1,114.0
10513,8,73.9,Month-to-month,2,1,88.0,1,90.08
10208,40,70.19,Month-to-month,3,0,,0,
10091,41,88.89,Month-to-month,4,0,,0,
10308,11,48.18,Month-to-month,0,0,,0,
10342,11,66.68,Two year,1,0,,0,
10381,19,91.2,Month-to-month,1,0,,0,
10418,13,38.35,One year,2,0,,0,
10345,8,54.35,Month-to-month,3,0,,0,
10464,66,111.71,Month-to-month,3,0,,0,
10544,28,80.43,Two year,1,0,,0,
10535,8,45.94,One year,2,1,13.0,1,41.57
10040,28,77.35,Two year,1,0,,0,
10087,9,25.11,One year,1,0,,0,
10182,44,27.56,Month-to-month,1,0,,0,
10596,5,70.24,Two year,2,0,,0,
10568,22,58.74,Month-to-month,1,0,,0,
10146,7,63.28,Two year,3,0,,0,
10159,46,59.82,One year,0,0,,0,
10173,7,99.88,Two year,2,0,,0,
10515,40,61.82,Month-to-month,4,0,,0,
10516,3,57.3,Two year,5,0,,0,
10409,8,59.36,Month-to-month,4,0,,0,
10490,39,73.73,Month-to-month,4,0,,0,
10201,3,95.91,One year,5,0,,0,
10427,17,63.5,Month-to-month,0,1,2.0,1,76.58
10382,7,65.45,One year,4,1,61.0,1,55.44
10293,1,69.57,Two year,0,0,,0,
10349,8,95.05,Two year,3,0,,0,
10072,13,46.04,Month-to-month,3,1,41.0,0,54.62
10527,36,45.46,Two year,0,0,,0,
10557,23,52.74,Month-to-month,2,0,,0,
10507,21,63.76,Month-to-month,3,0,,0,
10538,19,65.1,One year,2,0,,0,
10591,4,99.74,One year,1,0,,0,
10107,14,60.15,Month-to-month,6,1,78.0,1,73.66
10352,18,44.37,Month-to-month,1,0,,0,
10531,6,64.0,Month-to-month,2,0,,0,
10134,23,63.17,One year,3,0,,0,
10061,3,66.58,One year,1,1,56.0,0,78.85
10524,2,69.01,Month-to-month,2,0,,0,
10027,10,64.24,One year,2,0,,0,
10394,3,44.36,Month-to-month,2,0,,0,
10101,29,113.11,Month-to-month,2,1,13.0,0,144.49
10020,18,64.0,Month-to-month,0,0,,0,
10529,9,46.73,Month-to-month,3,0,,0,
10463,11,77.03,Month-to-month,0,0,,0,
10585,15,81.02,Month-to-month,3,1,67.0,0,92.95
10265,28,65.38,Month-to-month,2,0,,0,
10277,51,41.82,One year,1,0,,0,
10009,12,83.92,Month-to-month,4,0,,0,
10364,72,81.33,Two year,2,0,,0,
10310,72,83.4,Month-to-month,0,0,,0,
10284,43,68.01,Month-to-month,6,1,59.0,1,75.78
10401,39,88.98,One year,1,0,,0,
10588,4,88.1,Month-to-month,3,1,36.0,1,108.47
10093,55,82.8,One year,5,0,,0,
10253,18,88.45,Month-to-month,4,1,57.0,0,95.75
10033,13,91.13,Two year,2,0,,0,
10428,25,79.22,Month-to-month,2,1,5.0,0,71.47
10482,72,18.0,Month-to-month,1,0,,0,
10442,38,45.2,Two year,1,0,,0,
10136,25,49.69,One year,1,0,,0,
10492,40,116.0,Month-to-month,3,0,,0,
10477,9,59.32,Month-to-month,2,0,,0,
10023,24,61.02,Two year,5,0,,0,
10063,18,103.34,Month-to-month,1,1,67.0,1,95.49
10149,72,54.12,One year,4,1,20.0,1,57.77
10484,29,47.14,Month-to-month,0,0,,0,
10550,15,67.4,Month-to-month,1,0,,0,
10258,5,52.47,One year,2,0,,0,
10053,2,66.82,Two year,5,0,,0,
10243,18,63.03,Month-to-month,2,1,82.0,0,74.02
10174,35,25.65,Two year,2,0,,0,
10036,18,73.42,Month-to-month,1,0,,0,
10179,27,42.0,One year,1,1,31.0,1,35.07
10121,23,114.5,Month-to-month,1,0,,0,
10276,14,109.68,Two year,2,1,10.0,1,127.83
10045,6,92.41,Month-to-month,3,1,40.0,1,74.56
10301,13,67.55,One year,4,0,,0,
10077,2,77.47,One year,3,0,,0,
10369,13,39.15,One year,2,0,,0,
10213,17,22.28,Month-to-month,1,0,,0,
10268,14,72.92,One year,0,0,,0,
10312,4,77.2,Month-to-month,2,0,,0,
10445,22,67.97,Month-to-month,1,0,,0,
10504,1,55.05,Month-to-month,3,0,,0,
10496,19,120.0,Month-to-month,4,1,70.0,0,142.4
10034,28,27.26,Month-to-month,2,0,,0,
10010,6,18.0,Month-to-month,0,0,,0,
10161,6,71.75,One year,2,0,,0,
10286,2,36.46,Two year,2,0,,0,
10296,14,120.0,One year,3,1,80.0,0,105.46
10278,2,62.22,Month-to-month,0,1,12.0,1,70.24
10552,7,43.72,Month-to-month,0,0,,0,
10485,6,68.31,Month-to-month,1,0,,0,
10497,13,84.6,Month-to-month,5,1,50.0,1,91.31
10183,1,48.78,One year,0,0,,0,
10578,32,64.88,Two year,1,0,,0,
10037,5,48.53,Month-to-month,4,0,,0,
10157,5,82.7,One year,0,0,,0,
10003,11,18.0,Month-to-month,4,0,,0,
10509,17,60.48,One year,1,0,,0,
10498,34,70.53,Month-to-month,1,1,71.0,1,74.32
10309,5,71.93,Month-to-month,2,0,,0,
10290,72,58.97,Month-to-month,1,0,,0,
10415,39,71.82,Month-to-month,3,0,,0,
10422,23,38.59,Two year,2,0,,0,
10142,14,82.65,Month-to-month,0,0,,0,
10224,6,39.81,Month-to-month,3,1,28.0,0,43.54
10184,1,74.29,Month-to-month,3,1,57.0,1,80.11
10569,10,19.54,One year,3,0,,0,
10512,38,77.62,Two year,0,0,,0,
10118,1,95.42,One year,3,1,76.0,0,120.7
10002,21,43.39,Two year,2,0,,0,
10114,26,56.75,Month-to-month,5,0,,0,
10581,23,61.31,Month-to-month,4,0,,0,
10166,5,52.0,One year,3,0,,0,
10185,1,72.8,Month-to-month,2,1,32.0,0,71.12
10373,4,74.35,Month-to-month,1,0,,0,
10275,18,68.85,One year,0,0,,0,
10001,14,50.0,Month-to-month,3,0,,0,
10567,2,50.17,Two year,6,0,,0,
10541,4,97.41,Two year,7,0,,0,
10501,33,59.69,Two year,7,0,,0,
10384,14,79.34,Month-to-month,5,1,34.0,1,65.7
10406,27,66.24,Two year,2,0,,0,
10562,6,66.14,Month-to-month,2,0,,0,
