CustomerID,Age,MonthlyIncome,ExperienceYears,City,Occupation,CreditScore,LoanApproved
110,60.0,67015.0,33,Pune,Manager,757.0,1
111,23.0,129790.0,0,Pune,Analyst,733.0,1
112,23.0,172414.0,0,Mumbai,Doctor,610.0,0
113,47.0,105795.0,21,Pune,Analyst,,1
114,60.0,153319.0,35,Pune,Analyst,,1
115,,137878.0,19,Mumbai,Analyst,808.0,1
116,41.0,159081.0,19,,Manager,,1
117,60.0,53727.0,37,Pune,Analyst,697.0,0
118,35.0,42174.0,7,Delhi,Manager,679.0,0
119,30.0,91626.0,4,Bengaluru,Teacher,684.0,1
120,46.0,67265.0,19,Delhi,Doctor,742.0,1
121,44.0,143761.0,18,Hyderabad,Manager,603.0,0
122,44.0,94403.0,19,Delhi,Manager,624.0,0
123,24.0,102695.0,0,Hyderabad,Doctor,708.0,1
124,41.0,25469.0,14,Mumbai,Teacher,626.0,0
125,,,0,Pune,Manager,573.0,0
126,43.0,165014.0,20,Bengaluru,Manager,704.0,1
127,29.0,,1,Pune,Teacher,780.0,0
128,46.0,94268.0,24,Mumbai,Manager,729.0,1
129,52.0,90142.0,29,Mumbai,Engineer,,0
130,27.0,28237.0,1,Hyderabad,Teacher,622.0,0
131,47.0,70780.0,21,Delhi,Engineer,703.0,1
132,55.0,26664.0,30,Bengaluru,Analyst,591.0,0
133,35.0,35175.0,13,Delhi,Doctor,576.0,0
134,54.0,,30,Pune,Engineer,809.0,1
135,31.0,110687.0,8,Bengaluru,Doctor,672.0,0
136,55.0,148074.0,30,Hyderabad,Engineer,563.0,0
137,34.0,127645.0,8,,Engineer,839.0,1
138,31.0,115403.0,8,,Engineer,,0
139,23.0,42239.0,0,Hyderabad,Doctor,,0
140,45.0,,22,Pune,Teacher,607.0,0
141,26.0,100331.0,1,Mumbai,Teacher,600.0,0
142,37.0,30483.0,13,Delhi,Doctor,574.0,0
143,,149802.0,25,Delhi,Manager,565.0,0
144,51.0,37613.0,25,Hyderabad,Teacher,596.0,0
145,39.0,39146.0,17,Delhi,Analyst,598.0,0
146,43.0,160040.0,19,Hyderabad,Teacher,695.0,1
147,26.0,153527.0,0,Hyderabad,Engineer,717.0,1
148,26.0,135658.0,0,Mumbai,Doctor,655.0,0
149,35.0,145824.0,12,Hyderabad,Manager,567.0,0
150,56.0,109760.0,33,Bengaluru,Analyst,681.0,1
151,36.0,158091.0,13,Delhi,Doctor,629.0,0
152,43.0,67185.0,20,Delhi,Teacher,682.0,1
153,27.0,76231.0,2,Pune,Teacher,704.0,1
154,27.0,,4,Bengaluru,Analyst,567.0,0
155,39.0,,17,Pune,Doctor,757.0,1
156,58.0,135403.0,30,Pune,Manager,667.0,0
157,27.0,134990.0,4,,Teacher,678.0,0
158,54.0,72988.0,27,Delhi,Engineer,749.0,1
159,34.0,,7,Pune,Manager,728.0,1
160,53.0,29222.0,26,Delhi,Manager,725.0,0
161,46.0,159687.0,18,Mumbai,Manager,,1
162,25.0,,0,Delhi,Manager,685.0,1
163,,127750.0,10,Pune,Teacher,616.0,0
164,56.0,84241.0,28,Pune,Doctor,761.0,1
165,51.0,117994.0,23,Pune,Doctor,742.0,1
166,38.0,118841.0,15,,Doctor,795.0,1
167,30.0,104473.0,2,Bengaluru,Engineer,593.0,0
168,43.0,177687.0,21,Mumbai,Teacher,586.0,0
169,35.0,73670.0,7,Bengaluru,Doctor,628.0,0
170,59.0,48699.0,32,,Doctor,651.0,0
171,28.0,170506.0,6,Delhi,Analyst,669.0,0
172,30.0,153810.0,7,Bengaluru,Teacher,826.0,1
173,57.0,155444.0,30,Delhi,Analyst,741.0,1
174,44.0,32478.0,22,Hyderabad,Engineer,719.0,0
175,30.0,,7,Bengaluru,Teacher,723.0,0
176,,80240.0,32,Bengaluru,Doctor,766.0,1
177,52.0,130835.0,28,Hyderabad,Doctor,809.0,1
178,33.0,108124.0,6,Delhi,Teacher,850.0,1
179,,131438.0,30,Hyderabad,Engineer,754.0,1
180,59.0,40767.0,31,Hyderabad,Manager,742.0,0
181,26.0,80705.0,4,Bengaluru,Teacher,601.0,0
182,21.0,121696.0,0,Pune,Doctor,,1
183,,137898.0,0,Hyderabad,Engineer,804.0,1
184,57.0,131076.0,32,Mumbai,Engineer,748.0,1
185,47.0,168866.0,25,Mumbai,Analyst,,0
186,28.0,,5,Mumbai,Teacher,791.0,0
187,32.0,38143.0,8,Pune,Engineer,700.0,0
188,37.0,,10,Mumbai,Engineer,581.0,0
189,40.0,106918.0,13,Hyderabad,Teacher,799.0,1
190,51.0,68639.0,28,Mumbai,Doctor,633.0,0
191,38.0,173587.0,14,Delhi,Doctor,581.0,0
192,59.0,29063.0,31,Pune,Manager,708.0,0
193,45.0,86434.0,17,Bengaluru,Doctor,550.0,0
194,23.0,100634.0,0,Pune,Manager,625.0,0
195,52.0,115925.0,26,Mumbai,Manager,833.0,1
196,35.0,106125.0,9,Mumbai,Analyst,,1
197,45.0,145512.0,19,Mumbai,Manager,731.0,1
198,54.0,109146.0,29,Hyderabad,Manager,653.0,0
199,44.0,176484.0,18,Delhi,Analyst,814.0,1
200,,122430.0,0,Bengaluru,Engineer,629.0,0
