CustomerID,Gender,Country,DeviceType,SubscriptionPlan,Age,TenureMonths,Purchases,Churn
88,Female,India,Desktop,Gold,55,62,23,0
89,Male,UK,Desktop,Gold,51,106,20,0
90,Female,UK,Tablet,Silver,34,50,37,0
91,Male,UK,Tablet,Basic,38,106,17,0
92,Female,UK,Desktop,Basic,60,87,56,0
93,Male,UK,Tablet,Gold,45,66,13,1
94,Male,UAE,Desktop,Gold,20,64,80,0
95,Female,Germany,Mobile,Gold,19,55,64,0
96,Male,India,Mobile,Basic,39,2,29,1
97,Male,Singapore,Desktop,Silver,42,25,35,0
98,Female,Germany,Mobile,Basic,59,19,36,0
99,Male,USA,Tablet,Platinum,38,72,48,0
100,Female,India,Tablet,Silver,35,28,78,0
101,Male,India,Mobile,Gold,30,64,65,0
102,Male,Singapore,Desktop,Basic,36,99,16,1
103,Male,USA,Tablet,Basic,23,22,58,0
104,Female,India,Mobile,Silver,25,23,65,0
105,Female,Singapore,Desktop,Silver,43,94,70,0
106,Female,UK,Mobile,Gold,34,60,80,0
107,Female,UK,Mobile,Silver,59,120,80,0
108,Male,Singapore,Mobile,Gold,35,102,20,0
109,Female,India,Mobile,Gold,62,28,64,0
110,Male,India,Mobile,Basic,61,71,29,0
111,Female,UAE,Tablet,Basic,30,13,22,0
112,Female,UK,Desktop,Basic,43,50,37,0
113,Male,UK,Desktop,Basic,45,99,24,0
114,Female,Germany,Tablet,Silver,29,24,78,1
115,Male,Germany,Desktop,Basic,63,72,62,0
116,Male,UAE,Mobile,Gold,19,40,66,0
117,Male,Singapore,Mobile,Gold,46,12,73,1
118,Female,UAE,Desktop,Gold,49,96,33,0
119,Female,Singapore,Mobile,Basic,27,21,52,0
120,Female,UK,Desktop,Silver,25,48,68,0
121,Male,Singapore,Mobile,Gold,47,44,60,0
122,Male,Singapore,Tablet,Silver,30,88,73,0
123,Female,UAE,Tablet,Gold,52,54,29,0
124,Male,Singapore,Mobile,Platinum,51,116,21,0
125,Male,UK,Desktop,Silver,52,35,31,0
126,Male,UAE,Tablet,Gold,25,109,37,0
127,Male,UAE,Mobile,Silver,50,99,70,0
128,Female,Singapore,Desktop,Platinum,61,51,33,0
129,Female,USA,Mobile,Gold,42,54,25,0
130,Female,Germany,Desktop,Silver,32,8,46,0
131,Female,UK,Tablet,Silver,21,34,20,0
132,Male,India,Desktop,Silver,32,22,74,0
133,Female,UAE,Tablet,Gold,61,78,10,0
134,Male,Singapore,Desktop,Gold,54,77,23,0
135,Female,Germany,Desktop,Silver,20,22,18,0
136,Female,Singapore,Tablet,Silver,43,103,49,0
137,Male,Singapore,Tablet,Basic,50,107,22,0
138,Male,UK,Mobile,Basic,42,103,43,1
139,Female,UK,Mobile,Gold,43,7,67,0
140,Male,UK,Tablet,Silver,38,108,12,1
141,Female,Germany,Tablet,Silver,48,98,36,0
142,Female,USA,Tablet,Platinum,65,91,73,0
143,Male,Germany,Desktop,Basic,53,55,29,1
144,Female,UK,Mobile,Basic,36,97,36,1
145,Male,Singapore,Mobile,Platinum,22,86,15,1
146,Female,UK,Desktop,Basic,32,68,33,0
147,Male,USA,Tablet,Gold,22,26,47,1
148,Female,Germany,Mobile,Platinum,27,12,79,1
149,Female,USA,Desktop,Gold,32,36,26,0
150,Male,Singapore,Tablet,Basic,39,77,50,0
151,Male,Germany,Desktop,Gold,55,118,34,0
152,Male,Germany,Desktop,Silver,21,48,61,0
153,Male,India,Tablet,Gold,20,63,70,1
154,Female,Singapore,Desktop,Gold,23,75,34,0
155,Female,Singapore,Desktop,Basic,64,6,16,0
156,Male,UK,Tablet,Gold,42,79,66,0
157,Male,India,Desktop,Silver,58,101,11,0
158,Female,Germany,Desktop,Gold,34,10,62,0
159,Male,UAE,Tablet,Basic,18,21,61,1
160,Male,India,Tablet,Basic,34,118,9,1
161,Male,USA,Desktop,Gold,26,83,73,0
162,Female,Singapore,Tablet,Gold,30,47,61,0
163,Male,USA,Mobile,Silver,36,54,35,0
164,Female,Germany,Desktop,Basic,56,24,43,0
165,Female,USA,Tablet,Basic,52,74,52,0
166,Female,UK,Mobile,Silver,65,78,6,0
167,Female,USA,Desktop,Silver,47,109,67,0
168,Female,Germany,Tablet,Silver,27,68,66,0
169,Female,Germany,Mobile,Platinum,50,55,40,0
170,Female,India,Desktop,Gold,34,32,39,1
171,Male,India,Desktop,Basic,64,82,44,1
172,Male,Singapore,Desktop,Basic,48,29,65,0
173,Male,Singapore,Tablet,Silver,57,11,48,0
174,Male,UK,Mobile,Gold,54,110,37,1
175,Female,UK,Mobile,Basic,37,74,78,0
176,Male,UK,Desktop,Basic,52,102,41,0
177,Male,Singapore,Mobile,Basic,46,15,21,0
178,Male,USA,Mobile,Silver,45,10,78,1
179,Male,UAE,Mobile,Basic,19,73,10,1
180,Female,UAE,Mobile,Basic,61,56,75,0
181,Male,Singapore,Mobile,Platinum,54,94,44,0
182,Male,UK,Tablet,Platinum,50,13,38,0
183,Female,UK,Tablet,Basic,63,76,33,1
184,Female,UK,Tablet,Basic,32,7,16,0
185,Female,Singapore,Tablet,Silver,22,38,68,0
186,Female,Singapore,Tablet,Silver,23,77,4,0
187,Male,Germany,Desktop,Gold,24,110,47,0
188,Male,UK,Tablet,Platinum,19,111,18,0
189,Female,India,Desktop,Basic,27,45,7,1
190,Male,USA,Tablet,Basic,47,118,76,1
191,Male,UK,Desktop,Silver,28,19,4,0
192,Male,Germany,Mobile,Basic,41,83,35,0
193,Male,UK,Mobile,Silver,48,120,41,0
194,Female,UK,Mobile,Gold,29,56,19,1
195,Female,India,Tablet,Gold,53,35,24,1
196,Female,UAE,Desktop,Silver,58,102,29,0
197,Female,Germany,Desktop,Gold,25,118,72,0
198,Male,UK,Mobile,Basic,59,90,12,0
199,Male,India,Tablet,Platinum,39,6,59,0
200,Female,UAE,Tablet,Silver,25,108,27,0
201,Female,India,Desktop,Gold,58,110,58,0
202,Female,India,Mobile,Silver,47,104,25,1
203,Male,UK,Mobile,Platinum,26,105,31,0
204,Male,UK,Desktop,Gold,29,73,49,1
205,Male,UAE,Mobile,Gold,44,73,10,1
206,Male,UK,Mobile,Basic,32,119,64,1
207,Male,India,Desktop,Basic,20,50,80,0
208,Male,India,Tablet,Gold,29,38,34,0
209,Female,UAE,Tablet,Gold,27,90,31,0
210,Female,Singapore,Desktop,Gold,18,48,3,1
211,Female,UK,Mobile,Silver,36,15,41,0
212,Male,UAE,Desktop,Silver,36,52,28,0
213,Male,USA,Mobile,Basic,22,5,62,1
214,Female,Germany,Desktop,Silver,45,86,20,0
215,Male,UAE,Mobile,Silver,55,108,11,0
216,Female,UK,Mobile,Basic,23,5,9,1
217,Female,USA,Tablet,Basic,19,110,31,0
218,Female,USA,Mobile,Silver,47,56,79,0
219,Male,UAE,Mobile,Platinum,24,15,62,1
220,Male,India,Tablet,Silver,46,1,34,0
221,Male,USA,Tablet,Gold,24,95,66,0
222,Female,Singapore,Tablet,Silver,32,31,8,0
223,Female,UK,Desktop,Gold,56,61,58,0
224,Female,Singapore,Desktop,Basic,48,44,80,1
225,Male,USA,Mobile,Silver,52,11,42,0
226,Male,Germany,Desktop,Silver,52,16,11,1
227,Male,Singapore,Desktop,Silver,41,80,75,0
228,Male,India,Mobile,Gold,19,95,49,0
229,Male,Singapore,Desktop,Basic,45,106,73,1
230,Male,Germany,Mobile,Gold,34,68,38,0
231,Female,USA,Desktop,Platinum,24,31,6,0
232,Male,India,Mobile,Silver,40,10,14,0
233,Female,Singapore,Tablet,Gold,22,23,59,0
234,Male,UK,Desktop,Basic,41,8,17,1
235,Male,Singapore,Desktop,Platinum,26,71,12,0
236,Male,Singapore,Mobile,Silver,32,14,60,0
237,Male,Germany,Tablet,Gold,54,97,24,0
238,Female,UK,Mobile,Gold,22,65,1,0
239,Female,UK,Desktop,Silver,28,55,78,0
240,Male,Germany,Mobile,Gold,47,98,23,0
241,Female,UK,Tablet,Basic,61,80,59,1
242,Male,India,Mobile,Basic,23,93,78,0
243,Male,Singapore,Mobile,Silver,63,35,48,0
244,Male,USA,Mobile,Gold,40,101,21,0
245,Female,India,Tablet,Basic,28,82,74,0
246,Male,UAE,Mobile,Basic,61,101,15,0
247,Female,Singapore,Tablet,Basic,45,57,65,0
248,Male,USA,Desktop,Silver,65,95,27,0
249,Male,USA,Desktop,Silver,30,57,22,0
250,Male,Germany,Desktop,Basic,41,17,72,1
251,Male,UK,Tablet,Platinum,40,46,60,1
252,Female,UK,Mobile,Basic,64,105,76,0
253,Male,UK,Mobile,Basic,47,114,61,0
254,Male,USA,Desktop,Gold,65,10,75,0
255,Male,USA,Desktop,Basic,58,27,53,1
256,Male,UK,Desktop,Basic,32,71,80,0
257,Female,Singapore,Desktop,Basic,55,79,25,0
258,Male,UAE,Desktop,Basic,25,74,66,0
259,Male,Germany,Tablet,Silver,22,81,3,0
260,Female,Singapore,Tablet,Basic,47,109,73,0
261,Male,UAE,Tablet,Basic,45,89,67,0
262,Male,Singapore,Tablet,Gold,34,103,0,1
263,Female,India,Tablet,Basic,21,11,58,0
264,Female,USA,Desktop,Silver,21,91,40,0
265,Male,USA,Mobile,Gold,65,108,66,1
266,Female,UAE,Tablet,Basic,25,22,1,1
267,Female,USA,Desktop,Basic,41,64,36,0
268,Male,Singapore,Desktop,Platinum,62,76,18,0
269,Male,UAE,Tablet,Silver,57,62,66,0
270,Male,UK,Tablet,Gold,37,80,12,1
271,Female,UK,Tablet,Gold,39,40,52,1
272,Female,UK,Mobile,Basic,63,37,61,0
273,Male,UAE,Tablet,Platinum,30,40,23,0
274,Male,Germany,Tablet,Gold,57,29,9,1
275,Male,UAE,Desktop,Basic,50,28,12,0
276,Female,USA,Tablet,Basic,43,53,16,0
277,Male,Singapore,Tablet,Basic,32,70,26,1
278,Female,USA,Desktop,Silver,41,11,64,0
279,Male,Singapore,Desktop,Basic,36,51,41,0
280,Male,UK,Tablet,Basic,47,77,52,0
281,Male,Singapore,Desktop,Basic,32,44,42,0
282,Male,Germany,Mobile,Basic,23,51,14,1
283,Male,UAE,Desktop,Silver,24,96,0,0
284,Male,Singapore,Desktop,Basic,41,46,75,0
285,Female,Singapore,Mobile,Gold,24,115,34,0
286,Male,India,Desktop,Basic,31,65,69,0
287,Male,UAE,Tablet,Silver,32,51,36,0
288,Male,USA,Desktop,Basic,32,85,16,0
289,Female,UK,Mobile,Gold,41,47,35,0
290,Male,UK,Tablet,Platinum,44,7,57,0
291,Male,UK,Desktop,Gold,48,86,55,0
292,Female,Germany,Tablet,Basic,63,110,56,1
293,Female,USA,Mobile,Platinum,24,74,27,0
294,Female,Germany,Tablet,Basic,32,83,30,0
295,Male,India,Desktop,Basic,41,36,76,0
296,Female,Singapore,Tablet,Silver,28,74,57,1
297,Male,UAE,Mobile,Silver,34,61,11,0
298,Female,USA,Mobile,Silver,19,60,71,1
299,Male,Singapore,Mobile,Silver,34,10,10,0
300,Female,India,Tablet,Platinum,46,77,16,0
