PropertyID,AreaSqft,Bedrooms,PropertyAge,DistanceToCity,CustomerIncome,AnnualOnlineSpend,HousePrice
202,1476,2,12,5.0,194163,18277.51,729712.0
203,1134,5,16,3.27,93473,24256.41,628580.0
204,4739,5,1,23.86,145521,41351.21,1284194.0
205,4217,5,17,26.17,96534,27529.92,993146.0
206,4115,2,35,27.08,151811,40200.08,815205.0
207,3320,4,15,27.86,189354,27870.51,825486.0
208,1607,1,4,6.41,91735,30225.17,512256.0
209,1526,5,37,14.96,202885,26926.69,736236.0
210,634,3,24,6.91,124699,61133.08,495460.0
211,928,1,38,7.32,163463,31878.62,348202.0
212,3459,2,9,22.24,156442,14511.36,793111.0
213,4294,2,21,13.35,93578,33347.12,851858.0
214,2778,3,14,21.59,185469,23713.74,726537.0
215,4452,6,36,4.82,102934,99780.16,1248793.0
216,4263,2,13,32.42,109748,46799.53,626458.0
217,4774,4,17,1.11,125567,88388.97,1249872.0
218,3603,2,39,19.02,177192,39251.19,741312.0
219,1638,4,32,29.69,188781,69192.95,467750.0
220,4899,3,12,5.88,36361,62032.9,1112149.0
221,1343,4,6,21.41,143738,53671.15,534248.0
222,4642,4,37,30.77,224493,10744.9,1131797.0
223,524,5,5,16.2,184090,41761.13,679485.0
224,3520,2,22,11.67,210816,94140.48,915685.0
225,1477,2,15,24.87,177525,36659.29,392189.0
226,2374,5,30,27.74,111004,82371.47,553709.0
227,3635,6,29,29.44,218848,25946.11,1006678.0
228,1945,2,37,3.49,130020,29296.49,565530.0
229,4865,4,39,5.56,179173,58806.04,1362381.0
230,2943,1,5,31.21,247118,13501.04,711346.0
231,4499,2,14,29.04,50478,117097.61,598395.0
232,3771,2,32,10.59,82221,29949.66,826966.0
233,3205,5,27,31.45,188358,91070.72,850716.0
234,1899,4,8,26.14,67157,23894.98,445420.0
235,4302,4,16,30.94,212023,61465.54,1078629.0
236,3372,1,39,18.26,86044,27144.58,561579.0
237,4758,6,34,1.24,207732,12369.65,1606896.0
238,4853,1,13,32.79,145776,27001.03,877348.0
239,3861,4,1,6.97,49839,33540.81,973073.0
240,4864,6,24,6.41,200053,50812.92,1525518.0
241,3065,4,22,24.54,183320,20892.57,907928.0
242,4426,1,12,14.74,135867,52248.34,880701.0
243,582,3,34,11.58,100665,30287.46,290657.0
244,1500,2,30,10.7,126822,9087.95,467674.0
245,1788,1,4,28.92,182689,72344.21,452596.0
246,861,5,20,17.78,106026,77234.99,485091.0
247,796,6,2,16.81,71073,28279.8,493166.0
248,3585,3,2,7.17,100579,31852.33,1034293.0
249,4427,5,37,20.87,133910,25165.13,982128.0
250,2152,5,5,17.7,70263,47396.61,627271.0
251,1840,6,30,11.89,153977,24033.36,877567.0
252,1400,4,38,31.53,193496,65003.93,384759.0
253,978,5,9,14.04,243604,32822.26,796983.0
254,2580,6,8,22.58,35572,14637.97,648065.0
255,2787,3,30,28.39,130226,58712.73,577458.0
256,3043,1,33,17.74,197053,50483.57,633780.0
257,3531,2,8,11.49,30009,9961.41,628515.0
258,4036,5,0,12.29,144033,41360.31,1236465.0
259,3540,2,4,12.4,216245,53788.46,1011910.0
260,1657,1,2,19.32,135105,34015.54,330237.0
261,3178,6,18,31.11,68853,25960.02,642846.0
262,2505,6,3,10.38,169450,85818.52,1018304.0
263,4080,5,6,10.89,55763,22857.99,1088458.0
264,2326,2,8,28.73,124712,123039.96,386172.0
265,3169,5,16,30.99,142692,21911.23,724646.0
266,2246,5,31,24.37,120115,70128.25,671226.0
267,2706,4,40,4.68,33758,128435.33,620785.0
268,825,1,14,12.38,147336,14797.8,380362.0
269,2277,5,40,26.21,130575,50738.03,623317.0
270,1940,2,31,21.34,110900,21922.17,399641.0
271,1505,1,37,2.14,133282,63653.73,457258.0
272,2466,3,19,25.5,63802,99218.6,490855.0
273,922,1,20,27.98,179793,125808.96,208729.0
274,2098,2,14,25.09,75103,74505.29,299740.0
275,895,5,2,25.55,30834,28793.8,265205.0
276,746,4,28,9.43,127273,60202.57,442161.0
277,4894,2,26,9.05,182110,229420.87,1190341.0
278,2415,1,21,33.25,30463,87749.88,45131.0
279,1116,5,38,2.16,249951,173476.78,935261.0
280,1993,2,34,19.99,52976,82107.38,338876.0
281,2546,3,28,31.09,136884,15951.09,437791.0
282,2596,4,12,15.96,130389,30396.93,820309.0
283,2636,3,31,29.92,236586,60606.91,783407.0
284,4760,2,31,24.6,174487,19145.37,914041.0
285,3555,2,37,25.69,176595,59922.35,743420.0
286,2665,4,33,10.66,109922,9594.77,766500.0
287,2163,3,11,10.43,107990,35133.58,590290.0
288,2922,4,37,7.18,147624,55956.16,856143.0
289,3784,2,25,3.83,151020,10095.12,1077931.0
290,4274,2,3,1.44,159410,54562.03,1274871.0
291,4951,6,38,8.0,58076,70005.12,1152687.0
292,3088,4,33,8.49,110569,71568.27,839388.0
293,2622,6,21,20.56,133136,11815.23,799943.0
294,1299,1,29,6.45,83452,13763.26,371629.0
295,2074,6,40,0.7,175315,83323.13,1075166.0
296,4659,2,22,5.68,78635,83419.81,928489.0
297,3506,3,16,4.46,80901,17957.38,960543.0
298,3482,6,18,14.49,193924,14851.53,1176353.0
299,3155,3,24,9.8,169501,74181.52,869972.0
300,3804,6,6,12.08,30419,9595.09,1053440.0
