student_id,city,gender,income_bracket,school_name,final_score,passed
2117,Bengaluru,Female,<5L,School_003,65.6,1
2118,Patna,Female,10-20L,School_002,49.5,0
2119,Pune,Male,<5L,School_001,59.7,0
2120,Bengaluru,Female,10-20L,School_001,56.9,0
2121,Pune,Male,5-10L,School_001,43.7,0
2122,Bengaluru,Female,10-20L,School_001,77.3,1
2123,Pune,Female,<5L,School_014,56.7,0
2124,Hyderabad,Male,5-10L,School_001,53.2,0
2125,Bengaluru,Female,5-10L,School_001,60.7,1
2126,Hyderabad,Male,10-20L,School_004,57.4,0
2127,Patna,Male,<5L,School_002,36.4,0
2128,Delhi,Female,>20L,School_001,60.0,1
2129,Bengaluru,Female,5-10L,School_002,47.1,0
2130,Pune,Female,5-10L,School_003,66.0,1
2131,Kota,Male,<5L,School_008,59.8,0
2132,Delhi,Male,<5L,School_045,42.3,0
2133,Mumbai,Male,5-10L,School_020,55.6,0
2134,Pune,Female,10-20L,School_003,73.2,1
2135,Lucknow,Male,10-20L,School_003,59.7,0
2136,Mumbai,Male,<5L,School_002,49.1,0
2137,Pune,Male,<5L,School_001,46.5,0
2138,Patna,Male,5-10L,School_039,66.2,1
2139,Patna,Male,10-20L,School_001,64.7,1
2140,Delhi,Female,5-10L,School_001,58.2,0
2141,Mumbai,Female,>20L,School_007,51.7,0
2142,Hyderabad,Female,10-20L,School_005,80.9,1
2143,Mumbai,Male,10-20L,School_001,54.9,0
2144,Kota,Female,10-20L,School_035,66.0,1
2145,Pune,Male,10-20L,School_002,53.3,0
2146,Lucknow,Female,5-10L,School_005,70.5,1
2147,Mumbai,Female,<5L,School_001,61.4,1
2148,Hyderabad,Male,5-10L,School_026,64.4,1
2149,Bengaluru,Female,5-10L,School_001,53.3,0
2150,Delhi,Female,<5L,School_002,56.6,0
2151,Lucknow,Male,5-10L,School_025,58.7,0
2152,Lucknow,Male,10-20L,School_037,58.9,0
2153,Pune,Female,<5L,School_028,55.9,0
2154,Patna,Male,<5L,School_018,43.6,0
2155,Bengaluru,Female,<5L,School_001,50.5,0
2156,Patna,Male,5-10L,School_001,56.7,0
2157,Patna,Male,>20L,School_003,83.6,1
2158,Bengaluru,Male,<5L,School_001,66.0,1
2159,Kota,Female,<5L,School_042,47.6,0
2160,Delhi,Male,<5L,School_001,66.9,1
2161,Bengaluru,Male,5-10L,School_002,50.9,0
2162,Delhi,Male,<5L,School_001,57.1,0
2163,Lucknow,Female,5-10L,School_001,65.1,1
2164,Patna,Male,<5L,School_003,63.7,1
2165,Delhi,Male,<5L,School_001,73.4,1
2166,Bengaluru,Male,10-20L,School_028,63.8,1
2167,Mumbai,Female,<5L,School_008,41.2,0
2168,Delhi,Male,5-10L,School_002,61.7,1
2169,Pune,Female,5-10L,School_019,54.0,0
2170,Patna,Female,5-10L,School_015,58.8,0
2171,Patna,Male,10-20L,School_002,30.3,0
2172,Hyderabad,Female,<5L,School_020,55.7,0
2173,Bengaluru,Male,>20L,School_034,71.9,1
2174,Bengaluru,Male,>20L,School_006,77.7,1
2175,Mumbai,Female,10-20L,School_002,62.1,1
2176,Pune,Female,<5L,School_028,68.4,1
2177,Patna,Male,10-20L,School_037,61.0,1
2178,Pune,Female,5-10L,School_002,58.8,0
2179,Delhi,Female,10-20L,School_001,55.1,0
2180,Delhi,Male,<5L,School_022,61.0,1
2181,Hyderabad,Male,>20L,School_007,70.9,1
2182,Mumbai,Female,>20L,School_001,67.2,1
2183,Patna,Female,<5L,School_005,62.3,1
2184,Patna,Male,5-10L,School_002,54.2,0
2185,Bengaluru,Female,<5L,School_031,59.7,0
2186,Pune,Female,10-20L,School_002,47.7,0
2187,Lucknow,Female,>20L,School_001,67.5,1
2188,Bengaluru,Female,>20L,School_001,60.8,1
2189,Pune,Female,5-10L,School_002,38.7,0
2190,Kota,Male,10-20L,School_051,52.7,0
2191,Pune,Male,10-20L,School_001,75.2,1
2192,Lucknow,Female,5-10L,School_003,53.3,0
2193,Mumbai,Female,>20L,School_045,57.8,0
2194,Mumbai,Female,5-10L,School_001,62.9,1
2195,Hyderabad,Male,5-10L,School_001,63.1,1
2196,Kota,Female,5-10L,School_017,58.9,0
2197,Lucknow,Male,<5L,School_001,51.5,0
2198,Mumbai,Female,10-20L,School_033,62.4,1
2199,Patna,Male,10-20L,School_018,63.0,1
2200,Mumbai,Female,5-10L,School_001,52.9,0
2201,Pune,Female,10-20L,School_005,70.7,1
2202,Patna,Male,10-20L,School_004,77.9,1
2203,Mumbai,Female,5-10L,School_008,63.6,1
2204,Hyderabad,Female,<5L,School_002,50.2,0
2205,Hyderabad,Male,<5L,School_002,42.4,0
2206,Pune,Male,<5L,School_001,57.3,0
2207,Mumbai,Male,5-10L,School_001,58.9,0
2208,Bengaluru,Female,5-10L,School_001,64.7,1
2209,Pune,Male,>20L,School_028,54.9,0
2210,Lucknow,Female,<5L,School_025,58.0,0
2211,Hyderabad,Female,>20L,School_002,56.0,0
2212,Kota,Male,10-20L,School_008,48.9,0
2213,Mumbai,Female,10-20L,School_003,70.1,1
2214,Bengaluru,Male,5-10L,School_001,58.3,0
2215,Kota,Female,<5L,School_002,44.0,0
2216,Hyderabad,Female,10-20L,School_043,70.2,1
2217,Lucknow,Male,<5L,School_002,35.9,0
2218,Kota,Female,<5L,School_005,72.5,1
2219,Patna,Male,10-20L,School_037,64.8,1
2220,Bengaluru,Female,10-20L,School_001,63.3,1
2221,Bengaluru,Male,<5L,School_016,68.6,1
2222,Lucknow,Male,<5L,School_001,44.4,0
2223,Lucknow,Male,>20L,School_010,50.4,0
2224,Patna,Female,<5L,School_016,61.9,1
2225,Patna,Female,10-20L,School_019,63.9,1
2226,Delhi,Male,<5L,School_046,67.3,1
2227,Pune,Male,10-20L,School_009,47.2,0
2228,Patna,Female,<5L,School_047,45.9,0
2229,Kota,Female,5-10L,School_001,64.5,1
2230,Mumbai,Female,<5L,School_004,56.2,0
2231,Bengaluru,Male,5-10L,School_001,46.1,0
2232,Lucknow,Female,10-20L,School_001,81.9,1
2233,Hyderabad,Male,<5L,School_003,64.0,1
2234,Lucknow,Male,<5L,School_010,58.2,0
2235,Hyderabad,Male,10-20L,School_013,71.2,1
2236,Delhi,Male,5-10L,School_001,72.5,1
2237,Lucknow,Female,5-10L,School_037,60.6,1
2238,Pune,Female,10-20L,School_001,70.8,1
2239,Lucknow,Male,5-10L,School_001,49.8,0
2240,Lucknow,Male,10-20L,School_018,45.5,0
2241,Patna,Male,5-10L,School_027,71.9,1
2242,Mumbai,Female,10-20L,School_011,73.7,1
2243,Lucknow,Male,10-20L,School_002,58.3,0
2244,Hyderabad,Male,10-20L,School_003,70.2,1
2245,Pune,Male,5-10L,School_018,54.9,0
2246,Lucknow,Male,10-20L,School_002,48.8,0
2247,Patna,Male,10-20L,School_015,76.6,1
2248,Bengaluru,Female,5-10L,School_014,68.8,1
2249,Mumbai,Female,<5L,School_003,65.4,1
2250,Hyderabad,Female,>20L,School_027,69.5,1
2251,Delhi,Male,10-20L,School_002,62.6,1
2252,Delhi,Female,<5L,School_011,59.0,0
2253,Delhi,Female,10-20L,School_006,74.2,1
2254,Delhi,Female,<5L,School_002,37.9,0
2255,Patna,Male,5-10L,School_004,71.0,1
2256,Kota,Male,10-20L,School_005,97.5,1
2257,Mumbai,Male,5-10L,School_004,62.8,1
2258,Delhi,Female,5-10L,School_001,57.0,0
2259,Pune,Male,5-10L,School_052,69.4,1
2260,Kota,Male,<5L,School_043,67.7,1
2261,Kota,Female,<5L,School_001,59.0,0
2262,Patna,Female,<5L,School_037,41.4,0
2263,Lucknow,Male,<5L,School_004,66.9,1
2264,Bengaluru,Male,<5L,School_001,44.6,0
2265,Patna,Male,5-10L,School_017,62.1,1
2266,Kota,Male,<5L,School_003,65.8,1
2267,Delhi,Male,10-20L,School_009,39.9,0
2268,Kota,Male,>20L,School_018,66.1,1
2269,Mumbai,Male,<5L,School_004,88.1,1
2270,Patna,Female,5-10L,School_001,64.3,1
2271,Delhi,Female,5-10L,School_017,74.5,1
2272,Pune,Female,<5L,School_008,43.6,0
2273,Delhi,Male,<5L,School_030,48.5,0
2274,Patna,Female,>20L,School_001,55.5,0
2275,Delhi,Male,5-10L,School_014,59.3,0
2276,Bengaluru,Female,10-20L,School_023,58.8,0
2277,Patna,Female,<5L,School_002,42.0,0
2278,Bengaluru,Male,5-10L,School_002,49.6,0
2279,Patna,Male,10-20L,School_002,46.3,0
2280,Patna,Female,10-20L,School_001,49.7,0
2281,Lucknow,Male,<5L,School_001,43.1,0
2282,Hyderabad,Male,5-10L,School_002,54.9,0
2283,Bengaluru,Female,5-10L,School_001,58.5,0
2284,Bengaluru,Female,10-20L,School_012,77.0,1
2285,Lucknow,Male,<5L,School_002,55.6,0
2286,Pune,Male,<5L,School_005,70.2,1
2287,Patna,Male,10-20L,School_001,66.4,1
2288,Patna,Female,5-10L,School_002,39.7,0
2289,Kota,Female,5-10L,School_012,84.1,1
2290,Pune,Male,>20L,School_003,81.0,1
2291,Hyderabad,Male,5-10L,School_005,75.3,1
2292,Patna,Male,<5L,School_002,38.0,0
2293,Mumbai,Female,5-10L,School_004,70.0,1
2294,Mumbai,Male,<5L,School_027,41.5,0
2295,Delhi,Male,<5L,School_001,47.8,0
2296,Pune,Male,5-10L,School_004,72.9,1
2297,Delhi,Male,>20L,School_008,61.4,1
2298,Bengaluru,Male,5-10L,School_001,54.1,0
2299,Bengaluru,Female,10-20L,School_042,64.3,1
2300,Patna,Female,5-10L,School_003,57.1,0
2301,Hyderabad,Female,5-10L,School_001,60.3,1
2302,Kota,Female,10-20L,School_012,64.8,1
2303,Lucknow,Female,5-10L,School_016,57.2,0
2304,Lucknow,Male,10-20L,School_006,72.0,1
2305,Hyderabad,Male,5-10L,School_031,57.2,0
2306,Hyderabad,Male,<5L,School_001,69.2,1
2307,Kota,Male,5-10L,School_004,62.2,1
2308,Hyderabad,Female,5-10L,School_011,74.9,1
2309,Delhi,Female,<5L,School_031,52.4,0
2310,Hyderabad,Male,5-10L,School_006,70.1,1
2311,Patna,Male,10-20L,School_005,70.4,1
2312,Patna,Female,<5L,School_002,36.5,0
2313,Kota,Male,5-10L,School_005,78.3,1
2314,Kota,Male,10-20L,School_004,75.3,1
2315,Bengaluru,Male,5-10L,School_029,52.9,0
2316,Pune,Male,<5L,School_018,59.1,0
2317,Hyderabad,Male,5-10L,School_011,52.6,0
2318,Delhi,Male,5-10L,School_032,62.5,1
2319,Delhi,Male,10-20L,School_001,64.1,1
2320,Mumbai,Male,5-10L,School_013,68.4,1
2321,Pune,Male,<5L,School_003,47.0,0
2322,Delhi,Male,10-20L,School_011,74.9,1
2323,Kota,Female,>20L,School_001,68.5,1
2324,Patna,Male,<5L,School_003,58.0,0
2325,Lucknow,Male,<5L,School_017,56.5,0
2326,Lucknow,Female,<5L,School_001,40.5,0
2327,Bengaluru,Male,10-20L,School_001,50.1,0
2328,Mumbai,Female,>20L,School_003,75.8,1
2329,Hyderabad,Male,<5L,School_020,44.9,0
2330,Bengaluru,Male,5-10L,School_001,49.0,0
2331,Patna,Female,<5L,School_017,60.5,1
2332,Pune,Female,5-10L,School_001,70.5,1
2333,Delhi,Female,>20L,School_002,54.6,0
2334,Bengaluru,Male,<5L,School_004,58.2,0
2335,Pune,Male,<5L,School_007,63.2,1
2336,Hyderabad,Female,5-10L,School_024,56.5,0
2337,Pune,Male,5-10L,School_024,53.2,0
2338,Kota,Male,10-20L,School_001,56.2,0
2339,Delhi,Male,5-10L,School_011,46.5,0
2340,Patna,Male,<5L,School_006,51.9,0
2341,Lucknow,Male,5-10L,School_002,47.4,0
2342,Pune,Female,>20L,School_013,67.9,1
2343,Delhi,Male,10-20L,School_027,66.3,1
2344,Hyderabad,Female,<5L,School_003,65.8,1
2345,Pune,Female,10-20L,School_031,69.9,1
2346,Hyderabad,Male,5-10L,School_001,59.8,0
2347,Mumbai,Female,10-20L,School_001,53.0,0
2348,Delhi,Male,<5L,School_012,44.6,0
2349,Hyderabad,Male,10-20L,School_002,50.1,0
2350,Mumbai,Female,<5L,School_005,65.3,1
2351,Hyderabad,Male,5-10L,School_003,60.2,1
2352,Pune,Female,10-20L,School_001,58.8,0
2353,Mumbai,Male,5-10L,School_012,55.9,0
2354,Lucknow,Female,<5L,School_011,46.1,0
2355,Hyderabad,Male,<5L,School_001,53.2,0
2356,Lucknow,Female,5-10L,School_001,59.0,0
2357,Patna,Female,<5L,School_015,52.0,0
2358,Hyderabad,Female,<5L,School_030,57.6,0
2359,Lucknow,Female,<5L,School_023,58.8,0
2360,Mumbai,Female,5-10L,School_003,57.2,0
2361,Patna,Female,5-10L,School_002,51.6,0
2362,Patna,Female,5-10L,School_003,80.5,1
2363,Hyderabad,Male,5-10L,School_001,52.6,0
2364,Lucknow,Male,<5L,School_003,70.7,1
2365,Hyderabad,Female,5-10L,School_001,69.1,1
2366,Patna,Male,10-20L,School_001,73.0,1
2367,Patna,Female,<5L,School_002,40.7,0
2368,Bengaluru,Female,5-10L,School_001,74.2,1
2369,Lucknow,Male,10-20L,School_003,69.3,1
2370,Patna,Female,5-10L,School_009,37.3,0
2371,Kota,Female,>20L,School_007,60.6,1
2372,Mumbai,Male,>20L,School_046,65.1,1
2373,Delhi,Male,5-10L,School_025,61.4,1
2374,Mumbai,Male,10-20L,School_006,66.9,1
2375,Pune,Female,<5L,School_027,66.8,1
2376,Mumbai,Male,<5L,School_003,55.6,0
2377,Kota,Male,5-10L,School_015,52.9,0
2378,Kota,Female,5-10L,School_001,64.4,1
2379,Hyderabad,Male,>20L,School_004,78.5,1
2380,Delhi,Male,<5L,School_048,59.8,0
2381,Patna,Female,10-20L,School_005,71.4,1
2382,Delhi,Female,5-10L,School_003,74.0,1
2383,Patna,Male,<5L,School_014,63.4,1
2384,Bengaluru,Male,>20L,School_002,71.4,1
2385,Delhi,Male,10-20L,School_018,46.6,0
2386,Mumbai,Female,<5L,School_001,55.8,0
2387,Kota,Male,>20L,School_001,61.8,1
2388,Bengaluru,Female,<5L,School_001,41.3,0
2389,Mumbai,Male,<5L,School_001,48.3,0
2390,Delhi,Male,5-10L,School_038,70.8,1
2391,Mumbai,Male,>20L,School_001,60.3,1
2392,Hyderabad,Male,<5L,School_002,41.5,0
2393,Mumbai,Male,>20L,School_005,89.9,1
2394,Mumbai,Male,5-10L,School_009,47.2,0
2395,Pune,Female,<5L,School_013,67.6,1
2396,Kota,Female,5-10L,School_002,44.9,0
2397,Bengaluru,Female,5-10L,School_001,57.6,0
2398,Patna,Male,5-10L,School_020,59.9,0
2399,Lucknow,Female,10-20L,School_001,55.8,0
2400,Bengaluru,Male,10-20L,School_001,55.0,0
2401,Hyderabad,Male,>20L,School_001,70.7,1
2402,Lucknow,Male,<5L,School_003,73.9,1
2403,Pune,Female,10-20L,School_037,52.2,0
2404,Hyderabad,Male,5-10L,School_010,35.7,0
2405,Delhi,Male,10-20L,School_004,58.3,0
2406,Bengaluru,Female,>20L,School_004,64.8,1
2407,Delhi,Female,>20L,School_008,59.7,0
2408,Delhi,Female,<5L,School_006,66.2,1
2409,Lucknow,Male,5-10L,School_002,50.1,0
2410,Bengaluru,Female,>20L,School_001,58.4,0
2411,Pune,Female,>20L,School_001,65.3,1
2412,Mumbai,Female,5-10L,School_014,55.8,0
2413,Delhi,Male,>20L,School_006,70.9,1
2414,Lucknow,Female,5-10L,School_015,56.1,0
2415,Pune,Female,5-10L,School_001,79.5,1
2416,Patna,Male,10-20L,School_028,68.4,1
2417,Patna,Female,5-10L,School_002,44.6,0
2418,Lucknow,Female,5-10L,School_033,50.3,0
2419,Mumbai,Female,5-10L,School_005,73.5,1
2420,Mumbai,Female,5-10L,School_004,53.8,0
2421,Bengaluru,Male,<5L,School_017,58.8,0
2422,Kota,Female,<5L,School_006,55.4,0
2423,Lucknow,Male,10-20L,School_008,64.8,1
2424,Kota,Female,5-10L,School_001,54.6,0
2425,Delhi,Female,10-20L,School_005,73.6,1
2426,Mumbai,Female,10-20L,School_002,43.5,0
2427,Kota,Female,<5L,School_001,44.6,0
2428,Hyderabad,Male,<5L,School_001,53.5,0
2429,Delhi,Female,<5L,School_003,59.7,0
2430,Lucknow,Female,5-10L,School_001,67.1,1
2431,Kota,Male,10-20L,School_012,63.8,1
2432,Kota,Female,5-10L,School_001,66.5,1
2433,Hyderabad,Female,5-10L,School_001,60.1,1
2434,Lucknow,Male,10-20L,School_054,64.8,1
2435,Pune,Male,<5L,School_002,31.2,0
2436,Lucknow,Male,<5L,School_004,52.6,0
2437,Kota,Female,10-20L,School_001,67.0,1
2438,Delhi,Male,10-20L,School_001,72.2,1
2439,Lucknow,Male,5-10L,School_002,52.9,0
2440,Lucknow,Male,10-20L,School_014,72.6,1
2441,Lucknow,Female,<5L,School_001,50.8,0
2442,Patna,Male,5-10L,School_019,54.3,0
2443,Pune,Female,5-10L,School_052,57.0,0
2444,Delhi,Male,<5L,School_004,70.7,1
2445,Bengaluru,Male,5-10L,School_002,54.0,0
2446,Bengaluru,Female,5-10L,School_001,56.2,0
2447,Pune,Male,5-10L,School_001,55.4,0
2448,Hyderabad,Female,<5L,School_002,51.7,0
2449,Kota,Male,10-20L,School_020,57.3,0
2450,Bengaluru,Female,<5L,School_001,47.4,0
2451,Lucknow,Female,>20L,School_014,83.3,1
2452,Mumbai,Female,<5L,School_007,54.5,0
2453,Pune,Male,<5L,School_001,54.1,0
2454,Hyderabad,Male,<5L,School_001,65.9,1
2455,Mumbai,Male,>20L,School_010,70.6,1
2456,Hyderabad,Female,5-10L,School_008,54.1,0
2457,Patna,Female,5-10L,School_002,55.6,0
2458,Lucknow,Male,>20L,School_022,65.2,1
2459,Hyderabad,Male,>20L,School_001,58.9,0
2460,Lucknow,Male,<5L,School_002,29.2,0
2461,Kota,Male,5-10L,School_001,67.8,1
2462,Kota,Female,5-10L,School_007,41.3,0
2463,Mumbai,Female,10-20L,School_001,66.5,1
2464,Hyderabad,Male,5-10L,School_001,51.4,0
2465,Kota,Female,5-10L,School_012,58.0,0
2466,Lucknow,Female,<5L,School_003,59.8,0
2467,Pune,Female,<5L,School_007,54.6,0
2468,Patna,Female,5-10L,School_010,61.3,1
2469,Delhi,Female,<5L,School_005,87.1,1
2470,Delhi,Female,<5L,School_001,56.9,0
2471,Kota,Female,5-10L,School_009,46.3,0
2472,Mumbai,Female,<5L,School_001,49.2,0
2473,Pune,Female,<5L,School_001,59.7,0
2474,Hyderabad,Male,>20L,School_003,72.6,1
2475,Hyderabad,Female,5-10L,School_001,54.3,0
2476,Delhi,Male,<5L,School_001,53.3,0
2477,Delhi,Male,10-20L,School_007,58.9,0
2478,Bengaluru,Female,<5L,School_011,56.5,0
2479,Hyderabad,Female,<5L,School_002,50.5,0
2480,Patna,Male,>20L,School_002,53.2,0
2481,Patna,Male,>20L,School_001,58.1,0
2482,Pune,Male,10-20L,School_004,75.9,1
2483,Delhi,Male,<5L,School_005,59.4,0
2484,Kota,Male,5-10L,School_035,52.4,0
2485,Patna,Male,<5L,School_001,66.5,1
2486,Pune,Female,<5L,School_029,37.5,0
2487,Patna,Male,<5L,School_052,52.8,0
2488,Hyderabad,Male,<5L,School_002,52.8,0
2489,Bengaluru,Male,10-20L,School_010,46.2,0
2490,Mumbai,Male,<5L,School_017,85.5,1
2491,Bengaluru,Female,<5L,School_007,31.7,0
2492,Pune,Female,>20L,School_001,75.5,1
2493,Lucknow,Male,5-10L,School_006,77.7,1
2494,Delhi,Male,5-10L,School_024,60.1,1
2495,Delhi,Male,<5L,School_001,52.3,0
2496,Hyderabad,Female,10-20L,School_003,71.3,1
2497,Hyderabad,Female,10-20L,School_001,53.9,0
2498,Lucknow,Female,5-10L,School_020,58.1,0
2499,Bengaluru,Female,5-10L,School_013,54.7,0
2500,Pune,Female,<5L,School_001,51.8,0
2501,Kota,Female,<5L,School_011,62.9,1
2502,Kota,Male,5-10L,School_008,45.9,0
2503,Hyderabad,Female,>20L,School_001,61.1,1
2504,Bengaluru,Male,10-20L,School_004,71.2,1
2505,Kota,Male,10-20L,School_008,47.0,0
2506,Delhi,Male,5-10L,School_002,60.6,1
2507,Hyderabad,Female,<5L,School_003,64.1,1
2508,Delhi,Male,>20L,School_046,48.2,0
2509,Delhi,Female,<5L,School_006,60.9,1
2510,Kota,Male,<5L,School_003,55.2,0
2511,Lucknow,Female,10-20L,School_001,55.8,0
2512,Pune,Male,10-20L,School_001,61.6,1
2513,Bengaluru,Male,10-20L,School_020,49.0,0
2514,Mumbai,Female,5-10L,School_011,66.7,1
2515,Kota,Female,<5L,School_018,44.0,0
2516,Lucknow,Female,<5L,School_005,80.8,1
2517,Lucknow,Female,10-20L,School_005,79.6,1
2518,Bengaluru,Female,>20L,School_004,79.8,1
2519,Patna,Male,<5L,School_010,48.1,0
2520,Kota,Female,10-20L,School_002,50.2,0
2521,Delhi,Male,5-10L,School_003,56.2,0
2522,Mumbai,Male,5-10L,School_003,70.0,1
2523,Delhi,Female,5-10L,School_007,63.9,1
2524,Lucknow,Female,<5L,School_001,71.0,1
2525,Patna,Female,5-10L,School_001,68.4,1
2526,Delhi,Male,<5L,School_001,56.0,0
2527,Bengaluru,Female,10-20L,School_001,59.3,0
2528,Delhi,Male,5-10L,School_021,72.8,1
2529,Lucknow,Female,10-20L,School_009,42.1,0
2530,Delhi,Female,>20L,School_011,76.6,1
2531,Hyderabad,Female,5-10L,School_003,72.9,1
2532,Mumbai,Male,5-10L,School_001,51.3,0
2533,Hyderabad,Female,>20L,School_003,65.9,1
2534,Patna,Male,5-10L,School_022,78.7,1
2535,Hyderabad,Female,<5L,School_004,65.4,1
2536,Kota,Male,<5L,School_006,59.4,0
