CustomerID,Age,AnnualIncome,PurchasesPerYear,WebsiteVisits,CreditScore,AnnualSpend,PremiumCustomer
212,30,198842,12,405,750,22961.68,0
213,20,162441,53,274,806,29787.88,0
214,37,102863,40,212,377,22641.73,0
215,37,142480,86,371,368,28825.96,0
216,22,200117,18,59,703,24252.23,0
217,65,225630,107,67,755,34324.26,1
218,42,206583,91,248,543,32160.17,1
219,54,49707,59,400,310,20056.41,0
220,57,59880,38,326,685,30535.76,1
221,65,98172,44,391,701,32871.34,1
222,60,42787,33,101,504,20602.57,0
223,64,48726,43,163,580,27862.45,0
224,48,209737,82,174,757,36761.47,1
225,23,46703,19,323,396,13150.41,0
226,61,185253,91,96,484,27782.51,0
227,43,29562,108,242,392,27880.12,0
228,32,28482,21,68,744,24645.96,0
229,22,109562,118,426,737,46673.12,1
230,26,189672,27,397,451,21013.34,0
231,48,106877,118,216,315,32621.75,1
232,57,203469,41,408,550,29771.94,0
233,51,24860,34,174,493,20493.72,0
234,37,190582,57,59,870,34049.16,1
235,31,153526,43,408,600,22993.05,0
236,57,207022,21,134,851,26431.04,0
237,53,81319,46,318,812,34698.64,1
238,27,170511,92,106,828,36679.02,1
239,54,27001,81,342,502,26283.0,0
240,26,84120,62,300,727,32368.24,1
241,39,44053,119,451,669,41201.11,1
242,47,52512,58,378,438,23428.02,0
243,54,162455,70,292,365,28565.91,0
244,34,64180,117,386,642,45181.36,1
245,27,52152,120,427,303,32423.3,1
246,61,115324,31,393,887,32078.65,1
247,28,68647,77,285,378,28171.29,0
248,20,125746,24,405,441,18876.49,0
249,60,242130,95,469,690,43283.26,1
250,58,230715,98,13,462,28024.43,0
251,44,142689,5,78,840,24139.38,0
252,25,169295,52,93,644,30057.59,1
253,26,89116,32,295,640,20174.23,0
254,59,225514,5,374,448,17148.03,0
255,49,177310,14,245,653,22899.62,0
256,57,200698,73,393,716,34198.4,1
257,49,141504,108,468,718,43526.01,1
258,25,168364,15,468,838,28142.73,0
259,51,156492,56,220,324,20506.98,0
260,21,97606,93,320,743,39238.21,1
261,56,104386,97,409,612,40962.77,1
262,22,84052,16,437,757,24439.1,0
263,50,248865,51,31,787,26326.73,0
264,51,82691,70,161,705,30542.38,1
265,22,211574,112,345,677,44216.15,1
266,44,167839,104,89,527,34849.68,1
267,54,52159,116,41,400,34825.32,1
268,26,52452,113,280,889,47333.9,1
269,18,97622,32,377,606,19512.24,0
270,38,65092,9,230,760,26281.18,0
271,43,57035,46,359,899,32522.07,1
272,20,100274,4,237,621,18384.55,0
273,38,150657,19,483,783,25543.31,0
274,30,97423,110,477,360,31013.85,1
275,38,239654,110,186,783,36604.31,1
276,29,186560,113,362,873,43743.12,1
277,52,185778,31,103,351,12288.56,0
278,37,210258,105,165,580,37027.52,1
279,63,55357,43,361,755,31415.71,1
280,23,64405,29,446,614,21242.81,0
281,63,201180,26,142,485,17200.36,0
282,50,194218,38,409,579,26078.44,0
283,60,157470,114,64,828,40797.94,1
284,37,67333,86,120,583,28320.67,0
285,58,195059,12,241,378,16142.12,0
286,51,39349,68,469,346,19834.7,0
287,56,173763,37,280,556,25084.53,0
288,54,42849,22,150,494,16623.7,0
289,29,93164,94,285,329,25664.33,0
290,27,28811,80,241,898,40138.62,1
291,18,151045,8,97,365,15752.09,0
292,59,114272,42,342,795,25922.54,0
293,51,96401,65,428,833,39852.8,1
294,29,175680,100,399,469,30104.36,1
295,56,134181,31,347,751,31374.36,1
296,34,226193,92,410,541,33071.39,1
297,49,162648,29,441,894,36307.3,1
298,49,88507,5,108,353,15148.01,0
299,46,248820,113,97,632,34900.64,1
300,56,24663,78,259,745,38038.33,1
